"Year","Month","Dekad","NDVI","Average"
2021,1,1,0.1235439,0.1112871
2021,1,2,0.1234505,0.1108305
2021,1,3,0.1224566,0.1098268
2021,2,1,0.1215558,0.1093427
2021,2,2,0.1206592,0.1088935
2021,2,3,0.1197955,0.1085092
2021,3,1,0.1179651,0.1079262
2021,3,2,0.1171478,0.1077764
2021,3,3,0.1164223,0.107727
2021,4,1,0.115863,0.1077874
2021,4,2,0.116041,0.1080872
2021,4,3,0.1172159,0.1082609
2021,5,1,0.1191375,0.1083811
2021,5,2,0.1213163,0.1083533
2021,5,3,0.1237707,0.1077018
2021,6,1,0.1236412,0.1071111
2021,6,2,0.1227465,0.1064368
2021,6,3,0.1213455,0.1057638
2021,7,1,0.1190915,0.1042281
2021,7,2,0.1192126,0.1040936
2021,7,3,0.1206169,0.1042459
2021,8,1,0.1257812,0.1054835
2021,8,2,0.1284058,0.1065138
2021,8,3,0.1300435,0.1076816
2021,9,1,0.1308839,0.1088643
2021,9,2,0.1314165,0.1107631
2021,9,3,0.1315504,0.111372
2021,10,1,0.1316958,0.111796
2021,10,2,0.1318444,0.1120687
2021,10,3,0.1314409,0.1123661
2021,11,1,0.1307768,0.1124355
2021,11,2,0.1298839,0.1124529
2021,11,3,0.1280856,0.1123873
2021,12,1,0.1273943,0.1123018
2021,12,2,0.1267307,0.1121551
2021,12,3,0.1260605,0.1119579
2022,1,1,0.124214,0.1112871
2022,1,2,0.1231065,0.1108305
2022,1,3,0.1206532,0.1098268
2022,2,1,0.1194451,0.1093427
2022,2,2,0.1183479,0.1088935
2022,2,3,0.1174515,0.1085092
2022,3,1,0.1166868,0.1079262
2022,3,2,0.1167929,0.1077764
2022,3,3,0.1170258,0.107727
2022,4,1,0.1170274,0.1077874
2022,4,2,N/A,0.1080872
2022,4,3,N/A,0.1082609
2022,5,1,N/A,0.1083811
2022,5,2,N/A,0.1083533
2022,5,3,N/A,0.1077018
2022,6,1,N/A,0.1071111
2022,6,2,N/A,0.1064368
2022,6,3,N/A,0.1057638
2022,7,1,N/A,0.1042281
2022,7,2,N/A,0.1040936
2022,7,3,N/A,0.1042459
2022,8,1,N/A,0.1054835
2022,8,2,N/A,0.1065138
2022,8,3,N/A,0.1076816
2022,9,1,N/A,0.1088643
2022,9,2,N/A,0.1107631
2022,9,3,N/A,0.111372
2022,10,1,N/A,0.111796
2022,10,2,N/A,0.1120687
2022,10,3,N/A,0.1123661
2022,11,1,N/A,0.1124355
2022,11,2,N/A,0.1124529
2022,11,3,N/A,0.1123873
2022,12,1,N/A,0.1123018
2022,12,2,N/A,0.1121551
2022,12,3,N/A,0.1119579