"Year","Month","Dekad","NDVI","Average"
2016,1,1,0.2376444,0.2736127
2016,1,1,0.2950389,0.2736127
2017,1,1,0.2640484,0.2736127
2018,1,1,0.3088183,0.2736127
2018,1,1,0.2426762,0.2736127
2018,1,2,0.2531048,0.266727
2017,1,2,0.2460476,0.266727
2016,1,2,0.2979476,0.266727
2016,1,3,0.2722357,0.2523484
2017,1,3,0.2424389,0.2523484
2018,1,3,0.2368992,0.2523484
2018,2,1,0.2280595,0.2448246
2017,2,1,0.2372167,0.2448246
2016,2,1,0.2601095,0.2448246
2016,2,2,0.2494849,0.2371619
2017,2,2,0.2306341,0.2371619
2018,2,2,0.2205151,0.2371619
2018,2,3,0.2145397,0.2293079
2017,2,3,0.2211524,0.2293079
2016,2,3,0.2404262,0.2293079
2016,3,1,0.2265841,0.214246
2017,3,1,0.2028587,0.214246
2018,3,1,0.2026944,0.214246
2018,3,2,0.1983627,0.2076928
2017,3,2,0.1960929,0.2076928
2016,3,2,0.2199056,0.2076928
2016,3,3,0.2127063,0.2018254
2017,3,3,0.1914103,0.2018254
2018,3,3,0.1955159,0.2018254
2018,4,1,0.1931397,0.1966762
2017,4,1,0.1880357,0.1966762
2016,4,1,0.2064865,0.1966762
2016,4,2,0.1980484,0.1893381
2017,4,2,0.1810103,0.1893381
2018,4,2,0.1882508,0.1893381
2018,4,3,0.1873048,0.188046
2017,4,3,0.1799889,0.188046
2016,4,3,0.1981127,0.188046
2016,5,1,0.2012905,0.1885802
2017,5,1,0.182604,0.1885802
2018,5,1,0.1891897,0.1885802
2018,5,2,0.1944437,0.1913635
2017,5,2,0.1906238,0.1913635
2016,5,2,0.2097722,0.1913635
2016,5,3,0.2343738,0.2025214
2017,5,3,0.2175175,0.2025214
2018,5,3,0.2135587,0.2025214
2018,6,1,0.2229286,0.2072302
2017,6,1,0.2279619,0.2072302
2016,6,1,0.2402198,0.2072302
2016,6,2,0.2371698,0.2082214
2017,6,2,0.2343452,0.2082214
2018,6,2,0.2296095,0.2082214
2018,6,3,0.2320794,0.2044873
2017,6,3,0.2350714,0.2044873
2016,6,3,0.2284254,0.2044873
2016,7,1,0.2066675,0.1865484
2017,7,1,0.2216579,0.1865484
2018,7,1,0.2250841,0.1865484
2018,7,2,0.214719,0.1805452
2017,7,2,0.2116198,0.1805452
2016,7,2,0.1971754,0.1805452
2016,7,3,0.1899048,0.1759024
2017,7,3,0.2030833,0.1759024
2018,7,3,0.2055992,0.1759024
2018,8,1,0.1934929,0.1701341
2017,8,1,0.1930024,0.1701341
2016,8,1,0.1818516,0.1701341
2016,8,2,0.1807833,0.1692032
2017,8,2,0.1901,0.1692032
2018,8,2,0.1918294,0.1692032
2018,8,3,0.1917802,0.1695849
2017,8,3,0.1885238,0.1695849
2016,8,3,0.1813286,0.1695849
2016,9,1,0.1826397,0.1718238
2017,9,1,0.18865,0.1718238
2018,9,1,0.1941992,0.1718238
2018,9,2,0.2080143,0.1822206
2017,9,2,0.1958143,0.1822206
2016,9,2,0.1843198,0.1822206
2016,9,3,0.1860563,0.1917079
2017,9,3,0.2044111,0.1917079
2018,9,3,0.219469,0.1917079
2018,10,1,0.2332794,0.2042294
2017,10,1,0.2160865,0.2042294
2016,10,1,0.1895492,0.2042294
2016,10,2,0.1944992,0.218777
2017,10,2,0.2306635,0.218777
2018,10,2,0.2487286,0.218777
2018,10,3,0.2780214,0.2493095
2017,10,3,0.2620111,0.2493095
2016,10,3,0.2047937,0.2493095
2016,11,1,0.2089825,0.2638794
2017,11,1,0.2770984,0.2638794
2018,11,1,0.2883802,0.2638794
2018,11,2,0.293254,0.2765508
2017,11,2,0.2895373,0.2765508
2016,11,2,0.2106611,0.2765508
2016,11,3,0.2115008,0.2920063
2017,11,3,0.2985341,0.2920063
2018,11,3,0.2923976,0.2920063
2018,12,1,0.2909754,0.2937183
2017,12,1,0.2931127,0.2937183
2016,12,1,0.2131413,0.2937183
2016,12,2,0.2179222,0.2917151
2017,12,2,0.2851119,0.2917151
2018,12,2,0.290581,0.2917151
2018,12,3,0.2911849,0.2869444
2017,12,3,0.2770984,0.2869444
2016,12,3,0.2262286,0.2869444