"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2020,1,1,104.310402348702,107.955917082131,1.571,1.436
2020,1,2,103.486941063859,108.294140701548,1.534,1.357
2020,1,3,102.512212142359,107.932024238006,1.585,1.537
2020,2,1,107.849731663685,110.675332769443,1.953,1.081
2020,2,2,112.028985507246,113.102475989074,1.922,1.182
2020,2,3,117.232318808846,114.639522821577,2.187,1.438
2020,3,1,108.175538882934,112.098151886939,4.058,4.174
2020,3,2,115.448922392964,118.430631868132,7.646,5.082
2020,3,3,114.882256843447,119.488046365612,7.128,5.841
2020,4,1,111.193093218727,114.605256057417,4.462,5.37
2020,4,2,150.882567469001,144.875220689984,19.782,6.209
2020,4,3,154.014183321324,145.03066398034,6.368,4.79
2020,5,1,188.243619595489,152.553900866859,5.081,0.904
2020,5,2,138.694829760404,152.954018283531,0.548,0.166
2020,5,3,142.122645719896,153.193184747709,0.293,0.133
2020,6,1,105.388872706088,159.296012469152,0.013,0
2020,6,2,101.707293003059,160.641067847844,0,0
2020,6,3,102.424359968968,168.899727442261,0.549,0.312
2020,7,1,138.432977191786,198.25189968109,7.72,2.885
2020,7,2,162.727633743689,173.5266723116,10.415,4.43
2020,7,3,272.235119323986,282.470828091789,30.499,4.223
2020,8,1,249.274641148325,250.653252759866,14.209,7.472
2020,8,2,212.487401007919,219.524479459764,4.321,6.085
2020,8,3,118.456940675346,204.291887405093,5.954,5.554
2020,9,1,98.8215042372881,204.347515365191,2.114,1.017
2020,9,2,109.082131434434,204.366572966792,0.008,0
2020,9,3,110.029953707906,204.579273268372,0,0
2020,10,1,100.08,199.891699543591,0,0
2020,10,2,100,195.350935926174,0,0
2020,10,3,100,121.501593202337,0,0
2020,11,1,101.930538468818,99.7631658269819,0.771,0.567
2020,11,2,104.620462046205,111.263478020459,1.275,0.947
2020,11,3,111.115550583347,118.446530189934,1.859,1
2020,12,1,111.458410488112,112.503554165482,1.914,1.554
2020,12,2,110.42600896861,112.796148486,1.987,1.718
2020,12,3,105.931810658722,112.980305352177,2.1,1.833
2021,1,1,104.57730032695,112.789294148517,1.586,1.436
2021,1,2,104.341583481471,113.007054673721,1.575,1.357
2021,1,3,102.721563154222,112.196455419381,1.559,1.537
2021,2,1,111.806797853309,117.286203979878,2.491,1.081