"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2020,1,1,141.74526367588,159.705240896173,0.712,0.098
2020,1,2,130.823008849558,147.482891794837,0.371,0.107
2020,1,3,127.042522694697,167.741935483871,2.212,0.26
2020,2,1,126.780306307865,165.0322071776,2.069,1.19
2020,2,2,129.545098039216,163.795316989668,2.236,1.3
2020,2,3,119.236731379641,164.219914334331,1.848,1.057
2020,3,1,111.764705882353,154.876962476339,1.8,1.855
2020,3,2,102.396557431314,139.738971547899,1.819,2.193
2020,3,3,119.632571393925,142.301877590831,6.112,2.445
2020,4,1,116.781805954637,133.951007864051,1.171,1.719
2020,4,2,157.420637385848,155.828323313293,8.057,1.933
2020,4,3,161.320347654565,160.130221223775,6.943,2.571
2020,5,1,189.51205832866,171.752526497412,8.79,3.326
2020,5,2,170.295583866257,175.866842664435,8.086,3.962
2020,5,3,192.819727218818,197.016873027434,12.143,2.948
2020,6,1,188.012673825031,207.92507204611,1.814,0.133
2020,6,2,183.143490558826,217.364052760271,0,0
2020,6,3,122.522263717323,215.541595420415,0.981,0.31
2020,7,1,189.731566428814,249.263214816818,16.938,4.405
2020,7,2,168.771895199092,216.764537597494,6.286,5.552
2020,7,3,224.801765409934,245.668849391955,26.879,6.779
2020,8,1,182.915856906356,229.584766336233,7.66,5.455
2020,8,2,179.253494633571,214.43612367465,4.062,4.879
2020,8,3,109.802602063706,187.283447537961,7.648,6.414
2020,9,1,134.995453718858,191.737338987119,15.407,6.202
2020,9,2,139.750118829361,182.932751521976,8.107,6.838
2020,9,3,124.644972525512,169.738253942448,1.419,4.986
2020,10,1,87.8540507111936,149.910978231658,1.783,2.431
2020,10,2,80.3587393831024,154.497548794595,1.179,0.479
2020,10,3,99.0162037037037,119.327955882958,0.726,0.914
2020,11,1,108.776363953286,117.774847307052,0.576,0.081
2020,11,2,106.635581061693,123.201392135473,0.59,0.157
2020,11,3,119.191252709963,127.132690471056,1.479,0.371
2020,12,1,112.962316817865,98.3341301070128,0.881,0.936
2020,12,2,102.575769887056,88.4898150316085,0.264,1
2020,12,3,99.708387690891,110.66193311956,1.848,1.095
2021,1,1,104.863446239646,120.395215121274,0.674,0.098
2021,1,2,114,117.880615217833,0.36,0.107
2021,1,3,114.859053989489,125.189649060617,0.986,0.26
2021,2,1,118.689971445877,127.86249507033,2.371,1.19
2021,2,2,123.827450980392,130.1827963563,2.431,1.3
2021,2,3,125.872886986049,129.46664319662,2.25,1.057
2021,3,1,119.617224880383,130.848457855473,2.319,1.855
2021,3,2,109.61271102284,131.699295223179,1.988,2.193
2021,3,3,95.8103437822106,121.306998293099,1.495,2.445
2021,4,1,87.8156141101669,113.35532857272,0.881,1.719
2021,4,2,80.6112940299435,105.715597862391,0.6,1.933
2021,4,3,110.848794920791,117.416136770361,6.502,2.571
2021,5,1,164.116657319125,143.054332899046,12.16,3.326
2021,5,2,178.281887305504,144.676604101607,6.743,3.962
2021,5,3,149.288396916387,133.512381646031,1.307,2.948
2021,6,1,106.201959748871,133.608709574127,0.05,0.133
2021,6,2,86.8205794664017,136.852980679822,0,0
2021,6,3,99.7510293976827,143.520927812059,0.367,0.31
2021,7,1,100.530071355759,142.473299986481,4.426,4.405
2021,7,2,154.379039818424,174.812539524799,16.495,5.552
2021,7,3,169.924446439258,176.554857677402,14.51,6.779
2021,8,1,170.744259699129,152.579405219502,6.438,5.455
2021,8,2,130.111016855383,143.15513704555,4.329,4.879
2021,8,3,120.394048153133,154.918387324425,11.436,6.414
2021,9,1,163.658847063102,174.481958556685,19.233,6.202
2021,9,2,162.514429279555,166.154062708942,7.198,6.838
2021,9,3,149.368443588097,161.755812063079,5.431,4.986
2021,10,1,136.458462172748,177.269215264714,10.469,2.431
2021,10,2,151.816048278945,165.824504709619,1.269,0.479
2021,10,3,164.033564814815,157.909790526359,0.938,0.914
2021,11,1,112.802858636918,164.350823616509,0.736,0.081
2021,11,2,110.249282639885,174.876629785466,0.621,0.157
2021,11,3,112.61193326421,174.019532333097,0.59,0.371
2021,12,1,105.809490579204,140.370683631817,0.919,0.936
2021,12,2,104.834646948891,151.56169515336,1.393,1
2021,12,3,109.170439720666,165.191250572607,1.914,1.095
2022,1,1,115.20544574756,126.363095631485,0.74,0.098
2022,1,2,115.371681415929,123.544955620299,0.383,0.107
2022,1,3,115.910176779742,129.762495568947,1.007,0.26
2022,2,1,116.66522453924,129.223084001577,2.093,1.19
2022,2,2,120.894117647059,130.543498196491,2.314,1.3
2022,2,3,119.989665608622,132.670304523851,1.848,1.057
2022,3,1,115.880945679707,133.609843001893,2.307,1.855
2022,3,2,106.792452830189,128.332028191073,1.976,2.193
2022,3,3,96.4045352573819,118.434528163862,1.617,2.445
2022,4,1,92.7798496056734,113.567748350357,1.583,1.719