"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2020,1,1,116.77519379845,114.785579641847,0.96,0.822
2020,1,2,109.01523480446,113.690166868757,0.922,0.855
2020,1,3,102.253019510684,115.140062249889,1.325,1.239
2020,2,1,106.859397526368,119.308310991957,1.836,1.085
2020,2,2,108.667783523927,121.163666374375,1.758,1.405
2020,2,3,113.317191283293,120.962694351994,2.318,1.552
2020,3,1,95.24106400665,108.49686105737,4.256,6.291
2020,3,2,89.657654775236,99.2118727555852,5.844,7.161
2020,3,3,90.8437600256657,98.1824381032312,8.216,7.718
2020,4,1,103.208899347524,102.38444092086,14.536,12.517
2020,4,2,129.425267443371,118.782640846698,27.014,15.943
2020,4,3,116.591734231268,109.998596419594,10.429,14.699
2020,5,1,134.149862307897,119.175482417475,12.962,4.386
2020,5,2,109.420289855072,116.739696826149,3,4.173
2020,5,3,136.718330048378,116.344500478922,4.559,3.765
2020,6,1,108.152894387981,122.418289290681,2.021,0.166
2020,6,2,119.015146077094,126.401515667807,0,0
2020,6,3,118.247098170372,128.746820210513,0,0
2020,7,1,128.951038115897,136.741613133476,6.645,2.908
2020,7,2,158.615844018971,135.675883256528,10.445,4.171
2020,7,3,303.662793477741,257.602610543963,36.415,3.834
2020,8,1,302.6202231466,256.071866067783,20.983,7.718
2020,8,2,252.049368744916,241.662636495533,3.874,6.725
2020,8,3,137.032362459547,233.137997570214,7.486,6.457
2020,9,1,96.1711524039663,228.862618159642,1.723,0.82
2020,9,2,113.648802736602,229.149571055576,0.725,0.263
2020,9,3,111.781355032726,228.405111435794,0.19,0.223
2020,10,1,103.353658536585,226.171196516378,0.611,0.666
2020,10,2,99.7017805455662,221.86307700575,0.566,0.512
2020,10,3,97.7179836512261,136.839469808542,0.299,0.566
2020,11,1,97.4445893089961,96.852845192993,0.346,0.427
2020,11,2,99.1510162078724,110.974662654111,0.917,0.668
2020,11,3,112.122994203142,116.765866381328,2.083,0.808
2020,12,1,113.173176358285,111.400052534804,1.227,1.095
2020,12,2,115.328071804395,111.560115100713,1.595,1.021
2020,12,3,112.586350869202,116.843043995244,2.009,1.057
2021,1,1,113.798449612403,118.508482563619,1.076,0.822
2021,1,2,111.017747761897,118.967607829551,1.052,0.855
2021,1,3,103.956333230102,120.075589150734,1.299,1.239
2021,2,1,112.527505880568,127.276139410188,2.479,1.085