"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2020,1,1,116.495110653628,141.692268949887,0.914,0.137
2020,1,2,116.32616647337,121.178730858338,0.699,0.146
2020,1,3,129.317415474346,142.997198879552,2.577,0.69
2020,2,1,122.559136370853,140.793440250814,2.164,1.762
2020,2,2,123.447787610619,142.415090038751,2.696,1.673
2020,2,3,114.742414986764,142.234347442681,2.045,1.298
2020,3,1,113.803680981595,134.453781512605,3.438,3.003
2020,3,2,104.925718804722,126.105829752138,3.092,3.402
2020,3,3,121.395146895653,137.162852279175,8.634,4.324
2020,4,1,113.110436568164,125.776457674178,3.613,4.676
2020,4,2,158.528810788721,150.9835252631,16.545,5.47
2020,4,3,181.811484769236,167.630424068902,19.202,7.003
2020,5,1,197.635708543013,173.001789872784,20.625,11.11
2020,5,2,152.063739583841,157.837538558886,12.583,12.929
2020,5,3,129.451433877993,154.669311264619,15.339,11.188
2020,6,1,117.892804494757,158.604631766243,4.464,1.836
2020,6,2,129.44318971508,161.965974086611,0,0
2020,6,3,132.993692382339,161.18284884619,1.982,0.53
2020,7,1,180.42650418888,179.498536145935,18.815,6.539
2020,7,2,152.418016594232,159.694995387454,7.78,8.241
2020,7,3,204.353378866122,174.698075015962,37.009,11.238
2020,8,1,160.292196797446,160.63014361788,11.479,11.863
2020,8,2,158.954352900493,163.433956194204,15.057,13.167
2020,8,3,103.966073348465,155.537463427045,15.682,15.196
2020,9,1,111.732095282871,149.903307660493,16.298,12.685
2020,9,2,113.146817549974,146.036724952511,15.812,13.196
2020,9,3,102.199939490859,136.079560603637,5.182,10.393
2020,10,1,87.6575445643987,123.167884512565,3.92,6.241
2020,10,2,78.5368719330983,126.138705155105,3.625,2.304
2020,10,3,90.0395778364116,100.916867913716,1.565,2.679
2020,11,1,100.573517363081,101.341864084385,0.768,0.884
2020,11,2,92.9522208210733,99.3242606577017,0.935,0.711
2020,11,3,110.563552085875,100.339493268668,1.893,0.702
2020,12,1,114.70397404704,93.728527703167,1.315,0.917
2020,12,2,129.408875061405,89.7674024727601,2.598,0.595
2020,12,3,123.082489146165,107.920181825186,1.396,0.926
2021,1,1,127.620518099159,125.807101485772,0.884,0.137
2021,1,2,115.844410741369,124.648245465333,0.705,0.146
2021,1,3,118.062517087396,139.164756811816,1.366,0.69
2021,2,1,117.38371170027,143.548776076209,2.717,1.762