AdminStrata,Bamako,Gao-Menaka,Kayes,Kidal,Koulikoro,Mopti,Segou,Sikasso,Tombouctou-Taoudeni
Food Group,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers
2018-01-31,0.24520956610746705,0.30929954356499956,0.27845456859328177,0.42399715378457714,0.23680308361381394,0.2043173935204287,0.15703280637075687,0.20529823557359303,0.2156036817975606
2018-02-01,,,,,,,,,
2018-02-02,,,,,,,,,
2018-02-03,,,,,,,,,
2018-02-04,,,,,,,,,
2018-02-05,,,,,,,,,
2018-02-06,,,,,,,,,
2018-02-07,,,,,,,,,
2018-02-08,,,,,,,,,
2018-02-09,,,,,,,,,
2018-02-10,,,,,,,,,
2018-02-11,,,,,,,,,
2018-02-12,,,,,,,,,
2018-02-13,,,,,,,,,
2018-02-14,,,,,,,,,
2018-02-15,,,,,,,,,
2018-02-16,,,,,,,,,
2018-02-17,,,,,,,,,
2018-02-18,,,,,,,,,
2018-02-19,,,,,,,,,
2018-02-20,,,,,,,,,
2018-02-21,,,,,,,,,
2018-02-22,,,,,,,,,
2018-02-23,,,,,,,,,
2018-02-24,,,,,,,,,
2018-02-25,,,,,,,,,
2018-02-26,,,,,,,,,
2018-02-27,,,,,,,,,
2018-02-28,0.25403574583375643,0.32887804286976763,0.28097730584832614,0.40407364582406824,0.24345825348631292,0.20969851393847447,0.1452020970295449,0.21750171654872455,0.22582561426481848
2018-03-01,,,,,,,,,
2018-03-02,,,,,,,,,
2018-03-03,,,,,,,,,
2018-03-04,,,,,,,,,
2018-03-05,,,,,,,,,
2018-03-06,,,,,,,,,
2018-03-07,,,,,,,,,
2018-03-08,,,,,,,,,
2018-03-09,,,,,,,,,
2018-03-10,,,,,,,,,
2018-03-11,,,,,,,,,
2018-03-12,,,,,,,,,
2018-03-13,,,,,,,,,
2018-03-14,,,,,,,,,
2018-03-15,,,,,,,,,
2018-03-16,,,,,,,,,
2018-03-17,,,,,,,,,
2018-03-18,,,,,,,,,
2018-03-19,,,,,,,,,
2018-03-20,,,,,,,,,
2018-03-21,,,,,,,,,
2018-03-22,,,,,,,,,
2018-03-23,,,,,,,,,
2018-03-24,,,,,,,,,
2018-03-25,,,,,,,,,
2018-03-26,,,,,,,,,
2018-03-27,,,,,,,,,
2018-03-28,,,,,,,,,
2018-03-29,,,,,,,,,
2018-03-30,,,,,,,,,
2018-03-31,0.27035396713358395,0.34332990645194905,0.273756216421145,0.43520412701236333,0.2511097346403408,0.22395591556383646,0.15188585250397676,0.2645878484843893,0.2652064982839679
2018-04-01,,,,,,,,,
2018-04-02,,,,,,,,,
2018-04-03,,,,,,,,,
2018-04-04,,,,,,,,,
2018-04-05,,,,,,,,,
2018-04-06,,,,,,,,,
2018-04-07,,,,,,,,,
2018-04-08,,,,,,,,,
2018-04-09,,,,,,,,,
2018-04-10,,,,,,,,,
2018-04-11,,,,,,,,,
2018-04-12,,,,,,,,,
2018-04-13,,,,,,,,,
2018-04-14,,,,,,,,,
2018-04-15,,,,,,,,,
2018-04-16,,,,,,,,,
2018-04-17,,,,,,,,,
2018-04-18,,,,,,,,,
2018-04-19,,,,,,,,,
2018-04-20,,,,,,,,,
2018-04-21,,,,,,,,,
2018-04-22,,,,,,,,,
2018-04-23,,,,,,,,,
2018-04-24,,,,,,,,,
2018-04-25,,,,,,,,,
2018-04-26,,,,,,,,,
2018-04-27,,,,,,,,,
2018-04-28,,,,,,,,,
2018-04-29,,,,,,,,,
2018-04-30,0.2730381838734144,0.336710633829714,0.27722891150489826,0.5064207427493825,0.25601236299387475,0.2311139828789259,0.16469789342032617,0.26924466479145015,0.29370586681507904
2018-05-01,,,,,,,,,
2018-05-02,,,,,,,,,
2018-05-03,,,,,,,,,
2018-05-04,,,,,,,,,
2018-05-05,,,,,,,,,
2018-05-06,,,,,,,,,
2018-05-07,,,,,,,,,
2018-05-08,,,,,,,,,
2018-05-09,,,,,,,,,
2018-05-10,,,,,,,,,
2018-05-11,,,,,,,,,
2018-05-12,,,,,,,,,
2018-05-13,,,,,,,,,
2018-05-14,,,,,,,,,
2018-05-15,,,,,,,,,
2018-05-16,,,,,,,,,
2018-05-17,,,,,,,,,
2018-05-18,,,,,,,,,
2018-05-19,,,,,,,,,
2018-05-20,,,,,,,,,
2018-05-21,,,,,,,,,
2018-05-22,,,,,,,,,
2018-05-23,,,,,,,,,
2018-05-24,,,,,,,,,
2018-05-25,,,,,,,,,
2018-05-26,,,,,,,,,
2018-05-27,,,,,,,,,
2018-05-28,,,,,,,,,
2018-05-29,,,,,,,,,
2018-05-30,,,,,,,,,
2018-05-31,0.2828476117855965,0.33060151589015685,0.2891874774225127,0.5890058800216562,0.2560562079975791,0.2496339387060503,0.19694817073967177,0.2548761742910044,0.285449033271871
2018-06-01,,,,,,,,,
2018-06-02,,,,,,,,,
2018-06-03,,,,,,,,,
2018-06-04,,,,,,,,,
2018-06-05,,,,,,,,,
2018-06-06,,,,,,,,,
2018-06-07,,,,,,,,,
2018-06-08,,,,,,,,,
