AdminStrata,Abyan,Abyan,Aden,Aden,Al Bayda,Al Bayda,Al Dhale'e,Al Dhale'e,Al Hudaydah,Al Hudaydah,Al Jawf,Al Jawf,Al Maharah,Al Maharah,Al Mahwit,Al Mahwit,Amanat Al Asimah,Amanat Al Asimah,Amran,Amran,Dhamar,Dhamar,Hadramaut,Hadramaut,Hajjah,Hajjah,Ibb,Ibb,Lahj,Lahj,Marib,Marib,Raymah,Raymah,Sa'ada,Sa'ada,Sana'a,Sana'a,Shabwah,Shabwah,Taizz,Taizz
Food Group,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers
2018-01-31,0.06328502415458936,0.08292890672319807,0.017391304347826098,0.06395764927157385,0.03864734299516914,0.11615026230115719,0.03864734299516914,0.08455481526347666,0.04444444444444451,0.08310949404667027,0.033816425120772986,0.039717655169115997,0.05797101449275366,0.11874636384647264,0.061835748792270606,0.08576968902419585,0.07246376811594202,0.1456119098473015,0.0531400966183575,0.1363101061159106,0.037681159420289934,0.08798316012623929,0.03188405797101457,0.09520891113307195,0.05797101449275366,0.09666547287927572,0.05362318840579716,0.09666547287927572,0.022705314009661914,0.058656685342216824,0.0,0.04728842567502949,0.06280193236714982,0.06672448814912812,0.009661835748792313,0.0733767812171252,0.03913043478260869,0.08782575950779434,0.0434782608695653,0.12713783412764193,0.06280193236714982,0.17230107749689186
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
