data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7395859,466,MLI4615,4615,"12 December 2020",2020,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara)",,2,"MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-)",,8,28,"Western Africa",Mali,Gao,Ansongo,"Tin Hama",Tagarangabot,15.7681,0.9847,2,Whatsapp,"New media","On 12 December 2020, presumed ISGS or JNIM militants opened fire against a MINUSMA patrol on the transit route between Ansongo and Menaka, about 80km east of Ansongo, coded as Tagarangabot (Ansongo, Gao). No casualties were reported.",0,1607976279,MLI
7395798,466,MLI4603,4603,"12 December 2020",2020,1,Battles,"Armed clash","Islamic State (Greater Sahara)",,2,"JNIM: Group for Support of Islam and Muslims",,2,22,"Western Africa",Mali,Tombouctou,Gourma-Rharous,Gossi,NDaki,15.3584,-0.9241,1,Twitter,"New media","On 12 December 2020, ISGS and JNIM militants clashed in NDaki (Gourma-Rharous, Tombouctou). Fifteen ISGS and five JNIM fighters were reportedly killed, ten ISGS and seven JNIM wounded, and seven ISGS gone missing. JNIM allegedly recovered equipment.",20,1607976278,MLI
7395290,466,MLI4604,4604,"12 December 2020",2020,1,Protests,"Peaceful protest","Protesters (Mali)","CMI: Coordination of Inclusivity Movements",6,,,0,60,"Western Africa",Mali,Tombouctou,Tombouctou,Tombouctou,Timbuktu,16.7705,-3.0056,1,"Twitter; Pinal (Mali)","New media","On 12 December 2020, a number of people demonstrated in Timbuktu (Tombouctou, Tombouctou). The demonstration was organized by the armed group coalition, Coordination of Inclusivity Movements (CMI), to demand an allocation of seats in the National Transition Council (CNT). [size=no report]",0,1607976267,MLI
7395295,466,MLI4614,4614,"12 December 2020",2020,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Miners (Mali)",7,37,"Western Africa",Mali,Mopti,Bandiagara,"Bandiagara Commune",Bandiagara,14.3493,-3.6102,2,"Koro Kibaru; Radio Guintan","New media-National","On 12 December 2020, unknown gunmen attacked a sand mining site near Bandiagara (Bandiagara, Mopti). Five workers were severely wounded.",0,1607976267,MLI
7395857,466,MLI4613,4613,"11 December 2020",2020,1,Battles,"Armed clash","Military Forces of Mali (2020-)",,1,"Islamic State (Greater Sahara)",,2,12,"Western Africa",Mali,Gao,Ansongo,Bourra,Tassiga,15.4729,0.6941,1,Whatsapp,"New media","On 11 December 2020, the Malian army reportedly clashed with suspected ISGS militants in Tassiga (Ansongo, Gao). No casualties were reported.",0,1607976279,MLI
7395293,466,MLI4611,4611,"11 December 2020",2020,1,Battles,"Armed clash","Islamic State (Greater Sahara)",,2,"JNIM: Group for Support of Islam and Muslims",,2,22,"Western Africa",Mali,Tombouctou,Gourma-Rharous,Gossi,NDaki,15.3584,-0.9241,1,"Whatsapp; Telegram","New media","On 11 December 2020, ISGS militants killed a local JNIM commander in NDaki (Gourma-Rharous, Tombouctou). ISWAP (Greater Sahara faction) claimed responsibility and said that the group seized a weapon and a motorbike.",1,1607976267,MLI
7395294,466,MLI4612,4612,"11 December 2020",2020,2,"Violence against civilians","Abduction/forced disappearance","Dozo Communal Militia (Mali)","Bambara Ethnic Militia (Mali)",4,"Civilians (Mali)",,7,47,"Western Africa",Mali,Mopti,Djenne,Fakala,Sofara,14.0167,-4.2333,1,"Jeunesse Tabital Pulaaku; Radio Guintan","New media-National","Around 11 December 2020 (as reported), Bambara Dozo militiamen abducted six people in Sofara (Djenne, Mopti). The abductees were reportedly taken for refusing to join the militia.",0,1607976267,MLI
7395288,466,MLI4601,4601,"10 December 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Military Forces of France (2017-)",,8,"JNIM: Group for Support of Islam and Muslims",,2,28,"Western Africa",Mali,Tombouctou,Gourma-Rharous,Gossi,Diay,15.1999,-0.8283,2,"Whatsapp; Twitter","New media","On 10 December 2020, French forces conducted an airstrike against JNIM militants in the area of Diay (Gourma-Rharous, Tombouctou). Six militants were reportedly killed and a dozen motorbikes destroyed.",6,1607976267,MLI
7395289,466,MLI4602,4602,"10 December 2020",2020,1,"Strategic developments","Looting/property destruction","Islamic State (Greater Sahara)",,2,"Civilians (Mali)","Tuareg Ethnic Group (Mali)",7,27,"Western Africa",Mali,Gao,Ansongo,"Tin Hama","In Komni",15.7544,0.5518,1,"Studio Tamani; Twitter","New media-National","Looting: On 10 December 2020, ISGS militants attacked a Tuareg camp in In Komni (Ansongo, Gao). The militants seized livestock. No casualties were reported.",0,1607976267,MLI
7395285,466,MLI4598,4598,"09 December 2020",2020,1,"Strategic developments","Looting/property destruction","Islamic State (Greater Sahara)",,2,"Civilians (Mali)","Labour Group (Mali)",7,27,"Western Africa",Mali,Gao,Ansongo,Bourra,Lelehoy,15.5557,0.4944,2,"Radio Guintan; Twitter; Whatsapp","New media-National","Property destruction: On 9 December 2020, suspected ISGS militants burned two fuel tankers and one flatbed trailer near Lelehoye (Ansongo, Gao).",0,1607976266,MLI
7395286,466,MLI4599,4599,"09 December 2020",2020,1,Battles,"Armed clash","Katiba Macina","JNIM: Group for Support of Islam and Muslims",2,"Dan Na Ambassagou",,4,24,"Western Africa",Mali,Mopti,Bandiagara,Doucoumbo,Songho,14.3711,-3.709,1,"Koro Kibaru; Studio Tamani; Whatsapp; Mali Jet; Twitter","New media-Subnational","On 9 December 2020, presumed Katiba Macina (JNIM) militants attacked a Dana Ambassagou position in Songho (Bandiagara, Mopti). Five militiamen were killed and three reportedly went missing.",5,1607976266,MLI
7395287,466,MLI4600,4600,"09 December 2020",2020,1,"Strategic developments","Looting/property destruction","Islamic State (Greater Sahara)",,2,"Civilians (Mali)","Arab Ethnic Group (Mali)",7,27,"Western Africa",Mali,Gao,Gao,Anchawadi,"Tin Tagart",15.9482,0.6991,2,"Twitter; Whatsapp","New media","Looting: On 9 December 2020, ISGS militants attacked an Arab camp in the area of Tin Tagart (Gao, Gao). A vehicle was burned and livestock seized. No casualties were reported.",0,1607976266,MLI
7395801,466,MLI4610,4610,"09 December 2020",2020,1,"Explosions/Remote violence","Remote explosive/landmine/IED","JNIM: Group for Support of Islam and Muslims",,2,"MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-)",,8,28,"Western Africa",Mali,Kidal,Kidal,Kidal,Kidal,18.44,1.41,1,"UN MINUSMA",Other,"On 9 December 2020, a MINUSMA vehicle struck a landmine in Kidal (Kidal, Kidal). The vehicle was damaged. No casualties reported. The device was likely planted by JNIM militants.",0,1607976278,MLI
7395643,466,MLI4609,4609,"07 December 2020",2020,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Islamic State (Greater Sahara)",,2,22,"Western Africa",Mali,Tombouctou,Gourma-Rharous,Gossi,NDaki,15.3584,-0.9241,2,"Mali Jet",National,"On 7 December 2020, JNIM and ISGS clashed in the area of NDaki (Gourma-Rharous, Tombouctou). Losses of lives were reported on both sides. Unknown fatalities coded as 10.",10,1607976274,MLI
7395284,466,MLI4597,4597,"07 December 2020",2020,1,"Violence against civilians","Abduction/forced disappearance","Islamic State (Greater Sahara)",,2,"Civilians (Mali)","Military Forces of Mali (2020-)",7,27,"Western Africa",Mali,Gao,Ansongo,Ouattagouna,Ouatagouna,15.1787,0.7238,2,"Twitter; Radio Guintan","New media-National","On 7 December 2020, suspected ISGS militants reportedly abducted an off-duty soldier between Ouatagouna and Fafa (Ansongo, Gao).",0,1607976266,MLI
7395781,466,MLI4608,4608,"06 December 2020",2020,1,"Violence against civilians","Abduction/forced disappearance","Islamic State (Greater Sahara)",,2,"Civilians (Benin)","Christian Group (Benin)",7,27,"Western Africa",Mali,Gao,Ansongo,Ouattagouna,Ouatagouna,15.1787,0.7238,1,"Studio Tamani",National,"On 6 December 2020, suspected ISGS militants robbed a vehicle and abducted a Christian Beninese male civilian in Ouatagouna (Ansongo, Gao).",0,1607976278,MLI
7395291,466,MLI4606,4606,"06 December 2020",2020,1,"Violence against civilians",Attack,"Katiba Macina","JNIM: Group for Support of Islam and Muslims",2,"Civilians (Mali)","Dogon Ethnic Group (Mali); Labour Group (Mali)",7,27,"Western Africa",Mali,Mopti,Djenne,Fakala,Bonguel,14.08,-4.136,2,"Le Pays Dogon; Koro Kibaru","New media-Subnational","On 6 December 2020, presumed Katiba Macina (JNIM) militants attacked a communal transport vehicle near Bonguel (Djenne, Mopti). Four members of the local Dogon community were killed.",4,1607976267,MLI
7395292,466,MLI4607,4607,"06 December 2020",2020,1,"Violence against civilians",Attack,"Katiba Macina","JNIM: Group for Support of Islam and Muslims",2,"Civilians (Mali)","Bambara Ethnic Group (Mali); Farmers (Mali)",7,27,"Western Africa",Mali,Segou,Niono,Dogofry,Goma-Coura,14.9472,-5.8293,1,"Studio Tamani; RFI; AMAP",National-International,"On 6 December 2020, presumed Katiba Macina (JNIM) militants attacked a group of Bambara farmers reportedly escorted by Donso militiamen in Goma-Coura (Niono, Segou). Three farmers were killed, between two and six wounded, and one gone missing.",3,1607976267,MLI
