AdminStrata,Bamako,Gao-Menaka,Kayes,Kidal,Koulikoro,Mopti,Segou,Sikasso,Tombouctou-Taoudeni
Indicator,Ramadan,Ramadan,Ramadan,Ramadan,Ramadan,Ramadan,Ramadan,Ramadan,Ramadan
2019-10-20,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-21,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-22,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-23,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-24,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-25,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-26,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-27,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-28,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-29,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-30,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-10-31,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-02,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-03,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-04,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-05,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-06,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-07,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-08,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-09,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-10,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-11,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-12,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-13,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-14,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-15,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-16,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
2019-11-17,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
