AdminStrata,Boucle-Du-Mouhoun,Cascades,Centre,Centre-Est,Centre-Nord,Centre-Ouest,Centre-Sud,Est,Hauts-Bassins,Nord,Plateau-Central,Sahel,Sud-Ouest
Indicator,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities,Fatalities
2019-09-08,5.0,1.0,12.0,1.0,96.0,1.0,2.0,23.0,1.0,45.0,0.0,110.0,0.0
2019-09-09,5.0,1.0,1.0,1.0,99.0,1.0,2.0,6.0,1.0,45.0,0.0,113.0,0.0
2019-09-10,5.0,1.0,1.0,1.0,99.0,1.0,0.0,4.0,1.0,45.0,0.0,113.0,0.0
2019-09-11,5.0,1.0,1.0,1.0,99.0,1.0,0.0,4.0,1.0,45.0,0.0,109.0,0.0
2019-09-12,5.0,1.0,1.0,1.0,99.0,1.0,0.0,4.0,1.0,45.0,0.0,111.0,0.0
2019-09-13,5.0,1.0,1.0,1.0,102.0,1.0,0.0,4.0,1.0,45.0,0.0,117.0,0.0
2019-09-14,5.0,1.0,1.0,1.0,102.0,1.0,0.0,4.0,1.0,45.0,0.0,117.0,0.0
2019-09-15,5.0,1.0,1.0,1.0,85.0,1.0,0.0,4.0,1.0,45.0,0.0,117.0,0.0
2019-09-16,5.0,1.0,1.0,1.0,85.0,1.0,0.0,4.0,1.0,45.0,0.0,115.0,0.0
2019-09-17,5.0,1.0,1.0,1.0,85.0,1.0,0.0,4.0,1.0,45.0,0.0,115.0,0.0
2019-09-18,5.0,1.0,1.0,1.0,85.0,1.0,0.0,4.0,1.0,45.0,0.0,115.0,0.0
2019-09-19,10.0,1.0,1.0,1.0,65.0,1.0,0.0,4.0,1.0,25.0,0.0,115.0,0.0
2019-09-20,10.0,1.0,1.0,1.0,65.0,1.0,0.0,4.0,1.0,25.0,0.0,115.0,0.0
2019-09-21,10.0,1.0,1.0,1.0,74.0,1.0,0.0,4.0,1.0,25.0,0.0,116.0,0.0
2019-09-22,10.0,1.0,1.0,1.0,73.0,1.0,0.0,4.0,1.0,25.0,0.0,116.0,0.0
2019-09-23,10.0,1.0,1.0,1.0,79.0,1.0,0.0,4.0,1.0,25.0,0.0,115.0,0.0
2019-09-24,10.0,1.0,1.0,1.0,82.0,1.0,0.0,4.0,1.0,25.0,0.0,115.0,0.0
2019-09-25,10.0,1.0,1.0,1.0,85.0,1.0,0.0,4.0,1.0,10.0,0.0,116.0,0.0
2019-09-26,10.0,1.0,1.0,1.0,85.0,1.0,0.0,4.0,1.0,10.0,0.0,113.0,1.0
2019-09-27,10.0,1.0,1.0,1.0,84.0,1.0,0.0,4.0,1.0,10.0,0.0,112.0,1.0
2019-09-28,10.0,1.0,1.0,1.0,99.0,1.0,0.0,4.0,1.0,10.0,0.0,113.0,1.0
2019-09-29,10.0,1.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,10.0,0.0,98.0,1.0
2019-09-30,10.0,1.0,1.0,1.0,106.0,1.0,0.0,2.0,1.0,10.0,0.0,98.0,1.0
2019-10-01,10.0,1.0,1.0,1.0,106.0,1.0,0.0,2.0,0.0,10.0,0.0,98.0,1.0
2019-10-02,10.0,1.0,1.0,1.0,110.0,1.0,0.0,2.0,0.0,10.0,0.0,95.0,1.0
2019-10-03,10.0,1.0,1.0,0.0,110.0,1.0,0.0,2.0,0.0,9.0,0.0,99.0,1.0
2019-10-04,10.0,1.0,1.0,0.0,110.0,1.0,0.0,2.0,0.0,9.0,0.0,119.0,1.0
2019-10-05,10.0,1.0,1.0,0.0,111.0,1.0,0.0,1.0,0.0,9.0,0.0,119.0,1.0
2019-10-06,10.0,1.0,1.0,0.0,111.0,1.0,0.0,1.0,0.0,9.0,0.0,119.0,1.0
2019-10-07,10.0,1.0,1.0,0.0,111.0,1.0,0.0,1.0,0.0,17.0,0.0,158.0,1.0
2019-10-08,6.0,1.0,1.0,0.0,111.0,1.0,0.0,1.0,0.0,17.0,0.0,158.0,1.0
2019-10-09,6.0,1.0,1.0,0.0,111.0,1.0,0.0,1.0,0.0,17.0,0.0,158.0,1.0
2019-10-10,6.0,1.0,1.0,0.0,111.0,1.0,0.0,1.0,0.0,17.0,0.0,154.0,1.0
2019-10-11,6.0,1.0,1.0,0.0,111.0,1.0,0.0,1.0,0.0,17.0,0.0,170.0,1.0
2019-10-12,7.0,1.0,1.0,0.0,113.0,3.0,0.0,1.0,0.0,21.0,0.0,170.0,1.0
2019-10-13,7.0,1.0,1.0,0.0,113.0,3.0,0.0,1.0,0.0,21.0,0.0,170.0,1.0
2019-10-14,7.0,1.0,1.0,0.0,113.0,3.0,0.0,1.0,0.0,21.0,0.0,113.0,1.0
2019-10-15,7.0,1.0,1.0,0.0,113.0,3.0,1.0,1.0,0.0,21.0,0.0,113.0,1.0
2019-10-16,7.0,1.0,1.0,0.0,113.0,3.0,1.0,1.0,0.0,21.0,0.0,113.0,1.0
2019-10-17,7.0,1.0,1.0,0.0,103.0,3.0,1.0,2.0,0.0,21.0,0.0,113.0,1.0
2019-10-18,7.0,0.0,1.0,0.0,103.0,3.0,1.0,2.0,0.0,21.0,0.0,113.0,1.0
2019-10-19,7.0,0.0,1.0,0.0,107.0,3.0,1.0,2.0,0.0,37.0,0.0,113.0,1.0
2019-10-20,7.0,0.0,1.0,0.0,115.0,3.0,1.0,2.0,0.0,37.0,0.0,113.0,1.0
2019-10-21,7.0,0.0,0.0,0.0,115.0,3.0,11.0,2.0,0.0,44.0,0.0,122.0,1.0
2019-10-22,7.0,0.0,0.0,0.0,118.0,2.0,11.0,2.0,0.0,44.0,0.0,125.0,1.0
2019-10-23,7.0,0.0,0.0,0.0,118.0,2.0,11.0,2.0,0.0,42.0,0.0,123.0,1.0
2019-10-24,6.0,0.0,0.0,0.0,113.0,2.0,11.0,2.0,0.0,42.0,0.0,124.0,1.0
2019-10-25,6.0,0.0,0.0,0.0,113.0,2.0,11.0,2.0,0.0,44.0,0.0,124.0,1.0
