AdminStrata,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Cascades,Cascades,Cascades,Centre,Centre,Centre,Centre-Est,Centre-Est,Centre-Est,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Sud,Centre-Sud,Centre-Sud,Est,Est,Est,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Nord,Nord,Nord,Plateau-Central,Plateau-Central,Plateau-Central,Sahel,Sahel,Sahel,Sud-Ouest,Sud-Ouest,Sud-Ouest
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm)
2019-09-08,104.74783363032618,106.2713779333382,424.51060000000007,120.69595773225076,114.75658037489309,515.9716999999999,119.61773391057194,124.61622256640781,394.22479999999996,113.72744066746156,122.86247741514626,400.345,113.45686009448136,113.03255567964791,343.95329999999996,109.58475879433202,113.27248306640149,428.7712,110.39563678564818,120.04832260611556,425.1766,110.42431382300417,116.86742886205684,376.47510000000005,111.1444247904423,110.06477033669405,472.49749999999995,110.13830193398621,108.76474031181317,382.01669999999996,118.4979979917013,123.80610682112446,383.53479999999996,107.58825836780171,105.7478093358224,284.6803,117.7425968280352,117.51808030812789,465.6788
2019-09-09,104.80036505738713,106.24011605042031,426.2755,120.65309713100172,114.89397577112274,518.5115999999999,118.5433651477858,124.24967001720414,392.4728,112.90877245231543,122.42164518328624,397.94840000000005,113.01248837878383,112.92950936300859,342.4488,109.12837100706346,113.01108280283286,429.98019999999997,109.76473347061172,119.55239723457346,424.7883,109.67548018571722,116.55155218107711,375.115,110.91365409803161,109.99645374975644,474.0025999999999,110.07095864814504,108.83210896192023,382.7931,117.54370698697592,123.40998142800848,381.7808,107.62199665148738,105.80992228203971,283.99399999999997,117.53688646171642,117.49725916047511,467.8467
2019-09-10,104.8817766948525,106.22045945135211,428.04040000000003,120.55439587111755,115.02687051297407,521.0515,117.47759521677595,123.89301001458689,390.7208,112.08258960800565,121.9707252435851,395.55180000000007,112.553537622456,112.83106466289999,340.9443,108.68101616903739,112.76016734437017,431.1892,109.1409037575694,119.06015083149482,424.4,108.92900062944265,116.2320102770703,373.7549,110.66527114106756,109.9239813716806,475.50769999999994,110.01764681651905,108.91138243701384,383.56949999999995,116.58657101176468,123.02224123200547,380.0268,107.64070750042985,105.87759057084796,283.30769999999995,117.31764078679696,117.47301802009466,470.0146
2019-09-11,104.98899635530412,106.21047119459477,428.2382,120.44290963132372,115.15125965037758,521.1360999999999,116.43507823785161,123.54675802071748,388.432,111.27881148211836,121.51935979224878,395.12640000000005,112.10487254217666,112.74041432449464,339.0709,108.24524438869254,112.51753995224905,431.0371,108.53580899472857,118.57356362693888,423.60310000000004,108.22331649159128,115.92141521313576,375.0925000000001,110.3995331002121,109.84455211921623,474.587,109.98596041832184,108.99999083853095,382.5743,115.6473193314733,122.64689089940227,378.0755,107.66822309555472,105.95295176684296,282.08579999999995,117.08882731153425,117.44552479766811,471.5916
2019-09-12,105.12202403874198,106.21015128014827,428.43600000000004,120.3186384116202,115.26714318333325,521.2207,115.41581421101274,123.21091403559593,386.1432,110.49743807465354,121.06754882927726,394.701,111.66649313794584,112.65755834779256,337.1975,107.82105566602895,112.28320062646945,430.885,107.94944918208918,118.09263562090568,422.8062,107.55842777216314,115.61976698927353,376.43010000000004,110.11643997546518,109.75816599236335,473.6662999999999,109.97589945355341,109.09793416647153,381.5791,114.72595194610176,122.28393043019891,376.1242,107.70454343686197,106.03600587002474,280.8639,116.85044603592824,117.41477949319544,473.16859999999997
2019-09-13,105.28085974516607,106.21949970801263,428.63380000000006,120.18158221200702,115.3745211118411,521.3053,114.41980313625939,122.88547805922221,383.85440000000006,109.73846938561121,120.61529235467057,394.27560000000005,111.23839940976349,112.58249673279371,335.3241,107.40845000104659,112.05714936703141,430.7329,107.38182431965122,117.61736681339518,422.0093,106.93433447115822,115.32706560548361,377.76770000000005,109.81599176682684,109.66482299112191,472.74559999999997,109.98746392221376,109.20521242083558,380.58389999999997,113.82246885565006,121.9333598243954,374.1729,107.74966852435159,106.12675288039328,279.64199999999994,116.60249695997894,117.3807821066767,474.74559999999997
2019-09-14,105.46550347457642,106.23851647818785,428.83160000000004,120.0317410324841,115.47339343590112,521.3898999999999,113.4470450135915,122.57045009159636,381.5656,109.00190541499137,120.16259036842871,393.85020000000003,110.82059135762962,112.5152294794981,333.4507,107.00742739374549,111.8393861739349,430.5808,106.8329344074147,117.14775720440737,421.2124,106.35103658857655,115.04331106176596,379.10530000000006,109.49818847429705,109.56452311549195,471.82489999999996,110.0206538243029,109.3218256016231,379.5887,112.93687006011818,121.5951790819917,372.22159999999997,107.80359835802359,106.2251927979486,278.4201,116.34498008368635,117.34353263811188,476.32259999999997
2019-09-15,105.65775955185134,106.251055588127,424.63250000000005,119.93188507877764,115.58103081589964,523.1319,112.46948698701566,122.24231447196205,373.9176,108.25875310265052,119.70711541089466,389.6623,110.38945548601343,112.43597972696092,327.8089,106.61702310632981,111.61876866550811,426.3058,106.2750985985767,116.67336998309631,415.5682,105.77237557185813,114.7574794938733,376.4474,109.1904456130128,109.4675900607957,470.1486,110.0551194268055,109.42630556192128,374.4072,112.04201226068123,121.24592240453627,365.2063,107.86262061249283,106.31599022425442,274.6212,116.10480474916967,117.30700604219305,476.5195
2019-09-16,105.85762797699087,106.25711703783016,420.4334,119.88201435088756,115.69743325183663,524.8738999999999,111.48712905653178,121.9010712003193,366.2696,107.50901244858862,119.24886748206836,385.47440000000006,109.94499179491491,112.34474747518217,322.1671,106.23723713879956,111.39529684175103,422.0308,105.7083168931372,116.19420514946196,409.924,105.19835142100304,114.46957090180565,373.7895,108.89276318297411,109.37402382703314,468.47229999999996,110.09086072972157,109.51865230173007,369.2257,111.13789545733923,120.8855897920291,358.19100000000003,107.92673528775934,106.39914515931075,270.82230000000004,115.88197095642886,117.27120231892029,476.7164
