"Year","Month","Dekad","NDVI Anomaly"
2016,1,1,103.714868940181
2016,1,1,102.553209362496
2016,1,2,99.120340612492
2016,1,3,97.0835522423186
2016,2,1,96.2505650714877
2016,2,2,95.9363510752676
2016,2,3,96.0909280922802
2016,3,1,96.5179569839392
2016,3,2,96.1440608174342
2016,3,3,95.7711247384718
2016,4,1,95.5381660541208
2016,4,2,95.7449692330605
2016,4,3,95.9822126613865
2016,5,1,96.1455457692476
2016,5,2,96.3406550237509
2016,5,3,96.5417487590158
2016,6,1,96.5767916521068
2016,6,2,96.654789902514
2016,6,3,96.7922038492365
2016,7,1,97.2057164889573
2016,7,2,97.4352487499707
2016,7,3,97.60352937838
2016,8,1,97.8251008232409
2016,8,2,97.8885031701553
2016,8,3,97.8772017659642
2016,9,1,97.9647845820144
2016,9,2,98.0763325664821
2016,9,3,97.9125907668603
2016,10,1,97.6779802256706
2016,10,2,97.3051164794882
2016,10,3,96.3476273733015
2016,11,1,96.033130734177
2016,11,2,95.8620323192008
2016,11,3,96.333198650384
2016,12,1,97.111072113877
2016,12,2,98.132846871982
2016,12,3,99.1458368045047
2017,1,1,105.827786753732
2017,1,2,98.8000138134318
2017,1,3,97.1797893280696
2017,2,1,96.5545762816262
2017,2,2,96.6631229512325
2017,2,3,97.2823684892346
2017,3,1,99.3862130542004
2017,3,2,100.439702543814
2017,3,3,101.547461464728
2017,4,1,102.505594597361
2017,4,2,103.347665880573
2017,4,3,102.900046042782
2017,5,1,102.198906708733
2017,5,2,101.427554604297
2017,5,3,100.206534608301
2017,6,1,100.157624801806
2017,6,2,100.385259158292
2017,6,3,100.623972498154
2017,7,1,100.528924170519
2017,7,2,100.515130761414
2017,7,3,100.568204802481
2017,8,1,100.747051915717
2017,8,2,100.828944991227
2017,8,3,100.830488674465
2017,9,1,100.868112305346
2017,9,2,100.887748089371
2017,9,3,100.743078436463
2017,10,1,100.576867942468
2017,10,2,100.228923084393
2017,10,3,99.1583120657132
2017,11,1,98.5222202519021
2017,11,2,97.8327714570799
2017,11,3,96.8237464616699
2017,12,1,96.576151529187
2017,12,2,96.4484021434133
2017,12,3,96.6023890726957
2018,1,1,99.5944859951782
2018,1,1,99.6077025819946
2018,1,2,96.5088779148847
2018,1,3,95.7619772909205
2018,2,1,95.6689401513677
2018,2,2,96.0602898766524
2018,2,3,96.5755273820643
2018,3,1,95.7508708595271
2018,3,2,94.8798560372614
2018,3,3,94.6197637302972
2018,4,1,94.145762400805
2018,4,2,94.436075160692
2018,4,3,95.0508607727938
2018,5,1,95.7030257219228
2018,5,2,96.379938890528
2018,5,3,97.7212997697403
2018,6,1,98.3050827748244
2018,6,2,98.6892007373246
2018,6,3,98.9780682757338
2018,7,1,98.8938055754746
2018,7,2,98.777227027981
2018,7,3,98.6213592115773
2018,8,1,98.5250342638526
2018,8,2,98.5749154564624
2018,8,3,98.6626613869798
2018,9,1,98.8605418410932
2018,9,2,99.2422063869609
2018,9,3,99.296537785953
2018,10,1,99.3054697453247
2018,10,2,99.2709904322046
2018,10,3,99.6819303701616
2018,11,1,100.441120289629
2018,11,2,101.664255814091
2018,11,3,104.759358723391
2018,12,1,106.071524123785
2018,12,2,107.250572497734
2018,12,3,108.202618935084