"Year","Month","Dekad","NDVI","Average"
2017,1,1,0.2253148,0.1690503
2018,1,1,0.1802969,0.1690503
2018,1,1,0.1425758,0.1690503
2018,1,2,0.1296869,0.1751695
2017,1,2,0.1442099,0.1751695
2019,1,2,0.4006425,0.1751695
2019,1,3,0.4175379,0.1904626
2017,1,3,0.1530018,0.1904626
2018,1,3,0.1394058,0.1904626
2018,2,1,0.1489481,0.2014203
2017,2,1,0.1584169,0.2014203
2019,2,1,0.432829,0.2014203
2019,2,2,0.4533815,0.2150669
2017,2,2,0.1590107,0.2150669
2018,2,2,0.1646338,0.2150669
2018,2,3,0.1844602,0.2308852
2017,2,3,0.1610307,0.2308852
2019,2,3,0.475734,0.2308852
2019,3,1,0.5103798,0.2697762
2017,3,1,0.1865531,0.2697762
2018,3,1,0.2175839,0.2697762
2018,3,2,0.2272008,0.290911
2017,3,2,0.2162797,0.290911
2019,3,2,0.5278828,0.290911
2019,3,3,0.545975,0.3097182
2017,3,3,0.2536046,0.3097182
2018,3,3,0.2337899,0.3097182
2018,4,1,0.2347697,0.3241151
2017,4,1,0.2902318,0.3241151
2019,4,1,0.5591918,0.3241151
2019,4,2,0.5437881,0.3288245
2017,4,2,0.3351929,0.3288245
2018,4,2,0.2218109,0.3288245
2018,4,3,0.2101111,0.3148626
2017,4,3,0.3310343,0.3148626
2019,4,3,0.5134021,0.3148626
2019,5,1,0.4655013,0.2897246
2017,5,1,0.3064331,0.2897246
2018,5,1,0.196204,0.2897246
2018,5,2,0.1807539,0.2567701
2017,5,2,0.2691856,0.2567701
2019,5,2,0.4021576,0.2567701
2019,5,3,0.2743017,0.1873761
2017,5,3,0.1864702,0.1873761
2018,5,3,0.1523886,0.1873761
2018,6,1,0.1400449,0.1606805
2017,6,1,0.1558222,0.1606805
2019,6,1,0.2297323,0.1606805
2019,6,2,0.2024281,0.1425268
2017,6,2,0.1364181,0.1425268
2018,6,2,0.1300958,0.1425268
2018,6,3,0.1232216,0.1323234
2017,6,3,0.1261236,0.1323234
2019,6,3,0.1870195,0.1323234
2019,7,1,0.1740653,0.1280858
2019,7,1,0.1742703,0.1280858
2017,7,1,0.1207745,0.1280858
2018,7,1,0.117875,0.1280858
2018,7,2,0.1173407,0.1291103
2017,7,2,0.1198137,0.1291103
2019,7,2,0.1708045,0.1291103
2019,7,3,0.1677736,0.1310987
2017,7,3,0.1183915,0.1310987
2018,7,3,0.1170752,0.1310987
2018,8,1,0.1172862,0.1351594
2017,8,1,0.1170851,0.1351594
2019,8,1,0.1650022,0.1351594
2019,8,2,0.1649953,0.1365484
2017,8,2,0.1174704,0.1365484
2018,8,2,0.1174834,0.1365484
2018,8,3,0.1175404,0.1372958
2017,8,3,0.1175178,0.1372958
2019,8,3,0.1646791,0.1372958
2019,9,1,0.1647612,0.1373814
2017,9,1,0.1177391,0.1373814
2018,9,1,0.1177044,0.1373814
2018,9,2,0.1167956,0.1365836
2017,9,2,0.1172197,0.1365836
2019,9,2,0.162976,0.1365836
2019,9,3,0.1593393,0.1364192
2017,9,3,0.1163592,0.1364192
2018,9,3,0.1154681,0.1364192
2018,10,1,0.1145064,0.1366565
2017,10,1,0.1155142,0.1366565
2019,10,1,0.1561884,0.1366565
2019,10,2,0.1547238,0.1368617
2017,10,2,0.1149594,0.1368617
2018,10,2,0.1143382,0.1368617
2018,10,3,0.1259866,0.1361266
2017,10,3,0.1176474,0.1361266
2019,10,3,0.157261,0.1361266
2019,11,1,0.1549449,0.1352252
2017,11,1,0.1202736,0.1352252
2018,11,1,0.1348823,0.1352252
2018,11,2,0.1505413,0.13485
2017,11,2,0.1210336,0.13485
2019,11,2,0.1509418,0.13485
2019,11,3,0.1500076,0.1389605
2017,11,3,0.1216245,0.1389605
2018,11,3,0.210504,0.1389605
2018,12,1,0.2517561,0.1426294
2017,12,1,0.1223429,0.1426294
2019,12,1,0.1585347,0.1426294
2019,12,2,0.1725475,0.1478455
2017,12,2,0.1239154,0.1478455
2018,12,2,0.2925719,0.1478455
2018,12,3,0.3317638,0.1546517
2017,12,3,0.1266354,0.1546517
2019,12,3,0.1895672,0.1546517