"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2017,1,1,127.705738862498,105.568701960446,1.763,8.008
2017,1,2,95.5996603025823,99.0161944613026,1.384,6.571
2017,1,3,49.3318014150088,93.0333709399679,3.169,8.495
2017,2,1,51.6061832014975,87.4430059104982,2.54,8.056
2017,2,2,61.9493006993007,83.9442675592565,5.552,7.769
2017,2,3,62.0291864973051,79.3667367279138,1.588,5.902
2017,3,1,98.4344551970142,89.4426933136611,12.663,6.606
2017,3,2,127.658229953105,91.9375164085062,14.132,7.559
2017,3,3,142.75440035329,80.0648340587951,8.461,7.537
2017,4,1,124.09873855414,87.9731486071845,6.168,6.138
2017,4,2,134.324472458208,107.171883281915,14.583,5.517
2017,4,3,124.897756373505,111.525750086217,1.926,4.508
2017,5,1,138.103983558529,124.490525007766,5.074,2.844
2017,5,2,94.3287685180471,129.238395979763,1.529,2.291
2017,5,3,112.472240561791,140.615486190074,2.136,1.526
2017,6,1,99.0347907512786,133.566040095028,0.084,0.066
2017,6,2,105.417529330573,123.583248818859,0,0
2017,6,3,100.17881978939,126.178169656431,0,0
2017,7,1,100,132.072368421053,0,0
2017,7,2,100,97.7113256416294,0,0
2017,7,3,100,112.530639086507,0,0
2017,8,1,100,99.0347907512786,0,0
2017,8,2,100,105.417529330573,0,0
2017,8,3,100,100.17881978939,0,0
2017,9,1,100,100,0,0
2017,9,2,99.9900019996001,99.9900019996001,0.001,0.002
2017,9,3,99.9800379279369,99.9800379279369,0.016,0.017
2017,10,1,95.1237263464338,95.1237263464338,0.439,0.973
2017,10,2,83.6941286403987,83.6888819682342,0.293,1.852
2017,10,3,70.9052504526252,70.926517571885,1.017,3.745
2017,11,1,90.7952097008568,88.6724903336675,6.81,4.36
2017,11,2,108.967576791809,100.026632171663,7.715,5.335
2017,11,3,112.30174386491,94.6610302176295,3.939,5.651
2017,12,1,112.911657083116,102.875619517108,8.586,5.796
2017,12,2,105.284686461415,103.332340883586,6.303,5.934
2017,12,3,135.955638474295,117.113645300826,14.462,7.214
2018,1,1,125.462190268327,116.502288625961,8.324,8.008
