"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2019,1,1,115.129516581422,126.02214114983,0.891,0.488
2019,1,2,110.316925151719,123.408423114594,0.595,0.448
2019,1,3,109.12567356162,122.329521891107,1.07,0.57
2019,2,1,107.690399404614,123.066169617894,1.358,1.075
2019,2,2,109.849435382685,124.009785647717,1.58,1.107
2019,2,3,116.256313131313,129.349325337331,1.794,0.49
2019,3,1,117.35962619783,129.426433915212,1.445,1.03
2019,3,2,114.130774032459,124.61564938045,1.388,1.296
2019,3,3,100.777811275249,115.599865144729,3.881,4.259
2019,4,1,114.448110020271,122.614545332842,13.525,9.604
2019,4,2,125.776807610424,129.600468658465,19.266,13.244
2019,4,3,109.999113160695,112.323172862898,6.823,12.256
2019,5,1,94.5493075747869,106.193462171053,2.281,5.082
2019,5,2,86.0892640194386,111.478570611591,7.823,3.94
2019,5,3,150.790277593306,125.065343207418,13.955,3.565
2019,6,1,183.593660928058,125.420729105763,0.428,0.037
2019,6,2,179.260402881929,125.803797570458,0,0
2019,6,3,107.4819739676,128.749357546685,1.05,0.642
2019,7,1,106.548884890125,124.180436746188,8.49,7.697
2019,7,2,80.6696064020905,100.922605640148,5.157,12.276
2019,7,3,74.862059291125,102.710660623149,8.373,12.799
2019,8,1,69.8672798710822,98.9073266769793,15.057,20.154
2019,8,2,63.6625894299561,79.75942223636,5.189,17.709
2019,8,3,57.8723736624229,62.1190979418464,6.801,16.152
2019,9,1,53.9073104518131,63.1590002100399,3.03,2.552
2019,9,2,75.5448190789474,65.0630592966425,2.216,0.48
2019,9,3,124.602453430259,65.5265868610803,1.209,0.174
2019,10,1,129.536374616743,62.2790974514366,0.517,0.109
2019,10,2,116.38977946177,65.6933577908384,0.254,0.01
2019,10,3,106.160063079046,65.719120637701,0,0.027
2019,11,1,103.05830176476,62.7429738119544,0.9,0.786
2019,11,2,99.9161073825503,82.6098034844093,1.01,1.107
2019,11,3,107.409133271202,129.751047572098,1.92,0.983
2019,12,1,110.599861036053,133.585528578307,1.396,0.863
2019,12,2,116.746335245379,125.594310870301,1.338,0.706
2019,12,3,112.907097703449,120.568335588633,1.376,0.928
2020,1,1,111.672991255568,119.618819977356,0.823,0.488
2020,1,2,108.774443695212,119.178501469148,0.706,0.448
2020,1,3,110.942117156266,122.667219622016,1.236,0.57
2020,2,1,111.295790953444,124.196178937558,1.517,1.075
2020,2,2,112.24121706399,127.39981360671,1.56,1.107
2020,2,3,110.913825757576,125.51724137931,0.978,0.49
2020,3,1,107.507721549062,122.141075881724,1.037,1.03
2020,3,2,103.144506866417,117.238412115649,1.204,1.296
2020,3,3,95.7371118480555,109.319462505418,3.637,4.259
2020,4,1,92.7540840255972,101.643294621641,8.495,9.604
2020,4,2,141.221332902148,140.445225541886,30.271,13.244
2020,4,3,163.335846044697,153.794080314932,24.905,12.256
2020,5,1,195.327977921246,164.780359100877,14.092,5.082
2020,5,2,171.785280388772,162.338850672375,4.734,3.94
2020,5,3,156.643201841767,163.249113199328,6.555,3.565
2020,6,1,127.881655455478,165.979805002923,1.144,0.037
2020,6,2,130.120570504338,167.507703228096,0,0
2020,6,3,113.905796422886,173.404145965393,1.02,0.642
2020,7,1,175.238562626097,201.61521704479,21.117,7.697
2020,7,2,171.233055691654,187.1393819263,20.286,12.276
2020,7,3,315.482091087627,289.951461508262,83.535,12.799
2020,8,1,289.599666841695,273.538180284067,46.122,20.154
2020,8,2,242.196102996934,232.145760435443,7.264,17.709
2020,8,3,131.856596110287,217.00900826955,21.022,16.152
2020,9,1,93.9004158317713,215.702983566878,5.296,2.552
2020,9,2,127.734375,215.627955126865,0.96,0.48
2020,9,3,124.526730274118,215.80610642745,0.189,0.174
2020,10,1,104.599089473195,210.792706022401,0.109,0.109
2020,10,2,100.79665792286,217.839004729283,0.077,0.01
2020,10,3,100.443524541691,135.146288242018,0.005,0.027
2020,11,1,101.838676891804,95.5478239129982,0.94,0.786
2020,11,2,104.345637583893,127.690543682517,1.493,1.107