"SvyDate","Date","Dmgrph","DmgrphCode","Mean_crrnt","Pop","PopNmbr"
"2018-12-19_2019-1-18",2019-01-18,Adamawa,2211,43.0087409766514,3585312,1541997
"2018-12-19_2019-1-18",2019-01-18,Borno,2216,35.25952849574112,5604288,1976045
"2018-12-19_2019-1-18",2019-01-18,Yobe,2240,45.45846173135796,4066415,1848529
"2018-12-20_2019-1-19",2019-01-19,Adamawa,2211,43.619384793144924,3585312,1563891
"2018-12-20_2019-1-19",2019-01-19,Borno,2216,34.7199987904137,5604288,1945808
"2018-12-20_2019-1-19",2019-01-19,Yobe,2240,45.499662801634855,4066415,1850205
"2018-12-21_2019-1-20",2019-01-20,Adamawa,2211,42.48155905650609,3585312,1523096
"2018-12-21_2019-1-20",2019-01-20,Borno,2216,34.65347048674515,5604288,1942080
"2018-12-21_2019-1-20",2019-01-20,Yobe,2240,44.1934803460001,4066415,1797090
"2018-12-22_2019-1-21",2019-01-21,Adamawa,2211,42.55896231327148,3585312,1525871
"2018-12-22_2019-1-21",2019-01-21,Borno,2216,34.36289918556291,5604288,1925795
"2018-12-22_2019-1-21",2019-01-21,Yobe,2240,45.048172375869164,4066415,1831845
"2018-12-23_2019-1-22",2019-01-22,Adamawa,2211,41.1293993426402,3585312,1474617
"2018-12-23_2019-1-22",2019-01-22,Borno,2216,36.35570866606427,5604288,2037478
"2018-12-23_2019-1-22",2019-01-22,Yobe,2240,43.359341859778205,4066415,1763170
"2018-12-24_2019-1-23",2019-01-23,Adamawa,2211,40.721224204610365,3585312,1459982
"2018-12-24_2019-1-23",2019-01-23,Borno,2216,35.64780243122766,5604288,1997805
"2018-12-24_2019-1-23",2019-01-23,Yobe,2240,43.74485193029242,4066415,1778847
"2018-12-25_2019-1-24",2019-01-24,Adamawa,2211,42.168885110316765,3585312,1511886
"2018-12-25_2019-1-24",2019-01-24,Borno,2216,35.96718916318362,5604288,2015704
"2018-12-25_2019-1-24",2019-01-24,Yobe,2240,43.175353445809144,4066415,1755689
"2018-12-26_2019-1-25",2019-01-25,Adamawa,2211,42.14546183221991,3585312,1511046
"2018-12-26_2019-1-25",2019-01-25,Borno,2216,36.12897993331178,5604288,2024772
"2018-12-26_2019-1-25",2019-01-25,Yobe,2240,42.93306048335942,4066415,1745836
"2018-12-27_2019-1-26",2019-01-26,Adamawa,2211,42.45046126308673,3585312,1521981
"2018-12-27_2019-1-26",2019-01-26,Borno,2216,35.770259958215924,5604288,2004668
"2018-12-27_2019-1-26",2019-01-26,Yobe,2240,43.18331229588716,4066415,1756012
"2018-12-28_2019-1-27",2019-01-27,Adamawa,2211,39.6983042756,3585312,1423308
"2018-12-28_2019-1-27",2019-01-27,Borno,2216,38.627095576012515,5604288,2164773
"2018-12-28_2019-1-27",2019-01-27,Yobe,2240,40.43894904921903,4066415,1644415
"2018-12-29_2019-1-28",2019-01-28,Adamawa,2211,38.08170386589507,3585312,1365347
"2018-12-29_2019-1-28",2019-01-28,Borno,2216,37.377887434468036,5604288,2094764
"2018-12-29_2019-1-28",2019-01-28,Yobe,2240,41.474261117310945,4066415,1686515
"2018-12-30_2019-1-29",2019-01-29,Adamawa,2211,38.85754366564472,3585312,1393164
"2018-12-30_2019-1-29",2019-01-29,Borno,2216,35.51791834400017,5604288,1990526
"2018-12-30_2019-1-29",2019-01-29,Yobe,2240,41.86905990131356,4066415,1702569
"2018-12-31_2019-1-30",2019-01-30,Adamawa,2211,38.55117168282147,3585312,1382179
"2018-12-31_2019-1-30",2019-01-30,Borno,2216,36.60557168813594,5604288,2051481
"2018-12-31_2019-1-30",2019-01-30,Yobe,2240,41.55237942310118,4066415,1689692
"2019-1-1_2019-1-31",2019-01-31,Adamawa,2211,38.032530502896265,3585312,1363584
"2019-1-1_2019-1-31",2019-01-31,Borno,2216,36.152500376374306,5604288,2026090
"2019-1-1_2019-1-31",2019-01-31,Yobe,2240,41.86709044287905,4066415,1702489
"2019-1-2_2019-2-1",2019-02-01,Adamawa,2211,38.07975429067261,3585312,1365278
"2019-1-2_2019-2-1",2019-02-01,Borno,2216,35.41412643019238,5604288,1984709
"2019-1-2_2019-2-1",2019-02-01,Yobe,2240,42.43342950595058,4066415,1725519
"2019-1-3_2019-2-2",2019-02-02,Adamawa,2211,37.870897818956905,3585312,1357789
"2019-1-3_2019-2-2",2019-02-02,Borno,2216,36.801128506887935,5604288,2062441
"2019-1-3_2019-2-2",2019-02-02,Yobe,2240,43.19816018665089,4066415,1756616
"2019-1-4_2019-2-3",2019-02-03,Adamawa,2211,38.23994157851813,3585312,1371021
"2019-1-4_2019-2-3",2019-02-03,Borno,2216,35.03728162104981,5604288,1963590
"2019-1-4_2019-2-3",2019-02-03,Yobe,2240,43.38666984684298,4066415,1764282
"2019-1-5_2019-2-4",2019-02-04,Adamawa,2211,38.91462662335663,3585312,1395210
"2019-1-5_2019-2-4",2019-02-04,Borno,2216,35.18509143288318,5604288,1971873
"2019-1-5_2019-2-4",2019-02-04,Yobe,2240,43.193218830242365,4066415,1756415
"2019-1-6_2019-2-5",2019-02-05,Adamawa,2211,39.401864500160656,3585312,1412679
"2019-1-6_2019-2-5",2019-02-05,Borno,2216,34.7467083156772,5604288,1947305
"2019-1-6_2019-2-5",2019-02-05,Yobe,2240,42.07516695843636,4066415,1710950
"2019-1-7_2019-2-6",2019-02-06,Adamawa,2211,40.19232583929097,3585312,1441020
"2019-1-7_2019-2-6",2019-02-06,Borno,2216,34.295863335201545,5604288,1922038
"2019-1-7_2019-2-6",2019-02-06,Yobe,2240,43.12015763671441,4066415,1753444
"2019-1-8_2019-2-7",2019-02-07,Adamawa,2211,40.12390977128908,3585312,1438567
"2019-1-8_2019-2-7",2019-02-07,Borno,2216,34.09445285628968,5604288,1910751
"2019-1-8_2019-2-7",2019-02-07,Yobe,2240,43.040608417409445,4066415,1750209
"2019-1-9_2019-2-8",2019-02-08,Adamawa,2211,40.196312981799075,3585312,1441163
"2019-1-9_2019-2-8",2019-02-08,Borno,2216,32.6260932988972,5604288,1828460
"2019-1-9_2019-2-8",2019-02-08,Yobe,2240,44.69012494472896,4066415,1817285
"2019-1-10_2019-2-9",2019-02-09,Adamawa,2211,39.433425133254794,3585312,1413811
"2019-1-10_2019-2-9",2019-02-09,Borno,2216,32.31013514182711,5604288,1810753
"2019-1-10_2019-2-9",2019-02-09,Yobe,2240,43.414603930602254,4066415,1765417
"2019-1-11_2019-2-10",2019-02-10,Adamawa,2211,39.80108135400211,3585312,1426992
"2019-1-11_2019-2-10",2019-02-10,Borno,2216,32.66737496874893,5604288,1830773
"2019-1-11_2019-2-10",2019-02-10,Yobe,2240,44.619195579796944,4066415,1814401
"2019-1-12_2019-2-11",2019-02-11,Adamawa,2211,40.448368163674466,3585312,1450200
"2019-1-12_2019-2-11",2019-02-11,Borno,2216,32.12453950793749,5604288,1800351
"2019-1-12_2019-2-11",2019-02-11,Yobe,2240,44.1851695540888,4066415,1796752
"2019-1-13_2019-2-12",2019-02-12,Adamawa,2211,38.33998571736016,3585312,1374608
"2019-1-13_2019-2-12",2019-02-12,Borno,2216,33.84920355961899,5604288,1897006
"2019-1-13_2019-2-12",2019-02-12,Yobe,2240,44.04331082422478,4066415,1790983
"2019-1-14_2019-2-13",2019-02-13,Adamawa,2211,37.892022377935305,3585312,1358547
"2019-1-14_2019-2-13",2019-02-13,Borno,2216,33.542244635589746,5604288,1879803
"2019-1-14_2019-2-13",2019-02-13,Yobe,2240,42.42742307030887,4066415,1725275
"2019-1-15_2019-2-14",2019-02-14,Adamawa,2211,37.615995351456164,3585312,1348650
"2019-1-15_2019-2-14",2019-02-14,Borno,2216,34.04434947507337,5604288,1907943
"2019-1-15_2019-2-14",2019-02-14,Yobe,2240,42.56594386254478,4066415,1730907
"2019-1-16_2019-2-15",2019-02-15,Adamawa,2211,37.45358464231843,3585312,1342827
"2019-1-16_2019-2-15",2019-02-15,Borno,2216,34.93046956740089,5604288,1957604
"2019-1-16_2019-2-15",2019-02-15,Yobe,2240,43.4731882146018,4066415,1767800
"2019-1-17_2019-2-16",2019-02-16,Adamawa,2211,35.583576949877724,3585312,1275782
"2019-1-17_2019-2-16",2019-02-16,Borno,2216,34.522749188483886,5604288,1934754
"2019-1-17_2019-2-16",2019-02-16,Yobe,2240,42.22634998702297,4066415,1717098
"2019-1-18_2019-2-17",2019-02-17,Adamawa,2211,36.1172933451482,3585312,1294917
"2019-1-18_2019-2-17",2019-02-17,Borno,2216,34.00132982630443,5604288,1905532
"2019-1-18_2019-2-17",2019-02-17,Yobe,2240,44.324250135502645,4066415,1802407
"2019-1-19_2019-2-18",2019-02-18,Adamawa,2211,35.60364914333816,3585312,1276501
"2019-1-19_2019-2-18",2019-02-18,Borno,2216,34.19564626540607,5604288,1916422
"2019-1-19_2019-2-18",2019-02-18,Yobe,2240,43.7093141847352,4066415,1777402
"2019-1-20_2019-2-19",2019-02-19,Adamawa,2211,34.404388833340036,3585312,1233504
"2019-1-20_2019-2-19",2019-02-19,Borno,2216,33.475391909901845,5604288,1876057
"2019-1-20_2019-2-19",2019-02-19,Yobe,2240,42.84210251888457,4066415,1742137
"2019-1-21_2019-2-20",2019-02-20,Adamawa,2211,34.76160552333521,3585312,1246312
"2019-1-21_2019-2-20",2019-02-20,Borno,2216,33.24552125493372,5604288,1863174
"2019-1-21_2019-2-20",2019-02-20,Yobe,2240,43.08867224825553,4066415,1752164
"2019-1-22_2019-2-21",2019-02-21,Adamawa,2211,33.84653359330513,3585312,1213503
"2019-1-22_2019-2-21",2019-02-21,Borno,2216,32.51616994668904,5604288,1822299
"2019-1-22_2019-2-21",2019-02-21,Yobe,2240,42.24550327008188,4066415,1717877
"2019-1-23_2019-2-22",2019-02-22,Adamawa,2211,32.08271248219401,3585312,1150265
"2019-1-23_2019-2-22",2019-02-22,Borno,2216,31.491584666573164,5604288,1764879
"2019-1-23_2019-2-22",2019-02-22,Yobe,2240,41.580303691094,4066415,1690827
"2019-1-24_2019-2-23",2019-02-23,Adamawa,2211,31.27674223865594,3585312,1121368
"2019-1-24_2019-2-23",2019-02-23,Borno,2216,31.315978810905147,5604288,1755037
"2019-1-24_2019-2-23",2019-02-23,Yobe,2240,39.75761834188837,4066415,1616709
