Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5
Info,training points,features,training points,features,training points,features,training points,features,training points,features
1,4485,18,4875,17,5278,18,5668,24,6071,25
2,4472,18,4862,17,5265,16,5655,17,6058,17
3,4459,18,4849,17,5252,18,5642,24,6045,25
4,4446,16,4836,17,5239,17,5629,17,6032,25
5,4433,19,4823,17,5226,16,5616,18,6019,26
6,4420,18,4810,18,5213,18,5603,25,6006,26
7,4407,23,4797,17,5200,18,5590,24,5993,26
8,4394,19,4784,18,5187,23,5577,18,5980,18
9,4381,18,4771,17,5174,17,5564,24,5967,25
10,4368,17,4758,17,5161,17,5551,18,5954,25
11,4355,17,4745,17,5148,17,5538,18,5941,18
12,4342,16,4732,18,5135,17,5525,17,5928,19
13,4329,17,4719,17,5122,17,5512,17,5915,24
14,4316,17,4706,18,5109,18,5499,17,5902,18
15,4303,19,4693,17,5096,25,5486,17,5889,24
16,4290,16,4680,18,5083,17,5473,25,5876,18
17,4277,19,4667,18,5070,17,5460,18,5863,24
18,4264,18,4654,18,5057,24,5447,17,5850,18
19,4251,16,4641,19,5044,17,5434,24,5837,24
20,4238,16,4628,18,5031,18,5421,18,5824,26
21,4225,16,4615,17,5018,17,5408,17,5811,25
22,4212,17,4602,18,5005,17,5395,17,5798,26
23,4199,20,4589,18,4992,17,5382,19,5785,17
24,4186,17,4576,18,4979,24,5369,17,5772,18
25,4173,17,4563,17,4966,23,5356,16,5759,25
26,4160,17,4550,18,4953,24,5343,17,5746,26
27,4147,16,4537,17,4940,18,5330,24,5733,25
28,4134,16,4524,17,4927,24,5317,17,5720,25
29,4121,16,4511,19,4914,24,5304,18,5707,24
30,4108,16,4498,19,4901,17,5291,16,5694,24
