Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,2121,22,2331,21,2548,24
2,2114,23,2324,20,2541,24
3,2107,24,2317,21,2534,19
4,2100,22,2310,19,2527,22
5,2093,25,2303,23,2520,25
6,2086,22,2296,19,2513,20
7,2079,23,2289,25,2506,23
8,2072,23,2282,23,2499,23
9,2065,20,2275,21,2492,25
10,2058,18,2268,19,2485,23
11,2051,18,2261,24,2478,20
12,2044,18,2254,25,2471,27
13,2037,18,2247,26,2464,19
14,2030,18,2240,24,2457,23
15,2023,18,2233,19,2450,25
16,2016,18,2226,18,2443,24
17,2009,18,2219,18,2436,23
18,2002,18,2212,18,2429,26
19,1995,18,2205,18,2422,22
20,1988,18,2198,18,2415,23
21,1981,18,2191,18,2408,26
22,1974,18,2184,18,2401,22
23,1967,18,2177,18,2394,23
24,1960,18,2170,18,2387,26
25,1953,18,2163,18,2380,24
26,1946,18,2156,18,2373,20
27,1939,18,2149,18,2366,23
28,1932,18,2142,18,2359,23
29,1925,18,2135,18,2352,22
30,1918,18,2128,18,2345,23
