Country,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria,Nigeria
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,,,
1,0.910480341521253,0.9249827225545665,0.821832843922016,0.9925477389932915,0.8977367882818332,0.9667050172896634,0.987054172174757,0.965314914047187
2,0.8014510674066603,0.9237516763193807,0.7568636120883379,0.9505908950058133,0.7778960231336777,0.8589709079877328,0.9894437077580679,0.9747897006188633
3,0.44025960246623785,0.6700982600849172,0.39786374645660894,0.7695391933924363,0.2428169183924631,0.2541301903404938,0.9797862569052972,0.972086465434352
4,0.14410664056911393,0.2289479068557151,-0.036759547682755134,0.5017033891780003,-2.6900678808130594,-2.8936224771369354,0.9715226104858272,0.971835246761536
5,-0.37351589063393864,-0.222348858503997,-0.32641286140884507,0.3273316056742811,-1.5164540609795667,-1.6307349903088943,0.9746934128982804,0.9621985793294864
6,-0.6980437890749032,-0.48779716526112793,-21.019467713065215,-11.74082659020212,-7.546756780496267,-8.261226467743318,0.9715700588198604,0.9602238283358023
7,-1.562289152501751,-1.437450473622301,-18.127418093260328,-9.383727935696392,-7.974775324167272,-8.40663829148998,0.9439017772441843,0.9575290522234782
8,-1.2783489524698823,-1.107984883986659,-23.65680205599367,-11.970789191180062,-7.122638261816313,-7.556596367960358,0.9383833542208637,0.9614967485210161
9,-1.0924187820925622,-0.8355375353357157,-38.485264801196735,-20.519386584817262,-4.358888924633495,-4.05470180026568,0.92472028450392,0.9661148601052006
10,-1.0989269156063344,-0.7965404145981421,-36.787099113179664,-18.88737795575862,-3.436033960595206,-3.0348559174810816,0.9362942158954664,0.9578500913644928
11,-0.9931646976145783,-0.7494526326842927,-21.172387693572563,-9.512845799366149,-1.9864483341854382,-1.3585419448617686,0.9479007995472299,0.9695798499195896
12,-0.9034261239796246,-0.8164300875472941,-35.989962887462816,-16.589975488253465,-2.567656123057832,-1.3410726624335876,0.9381842887041233,0.9635161168095973
13,-0.7787446483309322,-0.8083269377195887,-26.13623428554497,-11.309711504205913,-3.25143786078565,-1.416632511413947,0.9476628821847218,0.9555503068725492
14,-0.8531344205835367,-0.9061956275560268,-31.7979820402833,-14.48693095075343,-2.8593306187003757,-1.1432285814253658,0.8765318914875079,0.946191495622069
15,-0.6131162455645232,-0.44538004556518884,-18.03888374233163,-7.571202035349513,-2.250029048146039,-0.8109184623244954,0.7904131272803816,0.9172611294892439
16,-0.4822460806612132,-0.22856304524722582,-17.870833784576753,-7.816879366211424,-2.129928855065548,-0.73071241095336,0.8225038466372581,0.9442491105875779
17,-0.44623538722749556,-0.08453659732924979,-17.480407581522233,-7.540146846276864,-2.0791847651889053,-0.7023423136869618,0.748936564554066,0.9486826821128407
18,-0.24701616508688828,0.073756857964277,-14.125479534948967,-6.19217817105897,-2.101840436922106,-0.7216355826377978,0.6233631341530277,0.9119218130544788
19,-0.25545030633416466,0.158451001704089,-12.269991017002836,-4.8350547850137655,-1.629437192276864,-0.6487069119271034,0.4886080950810022,0.5439172796493693
20,-0.3368326466527094,0.11399016834652131,-15.247564824165714,-6.332359342182689,-1.6289369001384668,-0.654101099729949,0.35150720541738967,0.11808751750393631
21,-0.9413297062505068,-0.1703604588066514,-24.183328105474306,-10.224442598897141,-1.615188833160817,-0.648828828575053,0.1960387224158513,0.038405861678759035
22,-1.243074886770649,-0.2287798934280012,-39.07730523702024,-15.412387127682152,-1.1850861975717475,-0.48767509517817054,0.02727825116833338,-0.6795561703509303
23,-1.1641779536707655,-0.17074248847538787,-14.385071406738815,-4.312874930296148,-1.3895746914275766,-0.5793192238000802,-0.19487072417981532,-0.517560682205237
24,-1.0806510263607088,0.007760559127430344,-9.070806980212287,-1.8071158740566773,-6.37005994201849,-3.1630711260831124,-0.32986278986472173,-1.1580030386239115
25,-0.6281801839539316,0.24366752273238357,-2.892593798434716,0.28809090428039397,-2.120838643655861,-0.8709766806872627,-0.7262557425272971,-1.7207764024003729
26,-0.7306354380339513,0.32223612623707065,-2.8701123323326736,0.4135244572384956,-2.0998371618177254,-0.728141260460488,-0.899172578107384,-1.596421450478514
27,-0.716839612833911,0.3983918272676803,-4.015855257920398,0.5589104420033717,-2.9737200115164386,-0.9531365211932312,-1.1251962423995634,-2.971972528023648
28,-2.4584980600110153,0.2900733900684255,-5.391785943688504,0.46333425426486896,-2.6502646641773735,-0.7342334301938587,-1.461231008068114,-2.9357289795607406
29,-0.6203574087330987,0.6855094990573576,-7.231557124134385,0.40317584819403873,-2.5333254555152522,-0.5779983295432176,-1.1520884961674285,-2.875890340366485
30,0.10509912620883144,0.6945310984548536,-13.734295008223423,0.12629653003767805,-2.8065530165550436,-0.5398731980993752,-0.9185556445419023,-2.7918889147828687
