Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4
Info,training points,features,training points,features,training points,features,training points,features
1,1641,19,1734,26,1824,25,1917,24
2,1638,26,1731,21,1821,20,1914,21
3,1635,20,1728,21,1818,25,1911,23
4,1632,23,1725,20,1815,20,1908,23
5,1629,23,1722,20,1812,22,1905,21
6,1626,24,1719,24,1809,23,1902,24
7,1623,21,1716,21,1806,20,1899,21
8,1620,19,1713,20,1803,22,1896,24
9,1617,22,1710,22,1800,24,1893,20
10,1614,21,1707,24,1797,17,1890,16
11,1611,18,1704,24,1794,22,1887,16
12,1608,21,1701,25,1791,23,1884,16
13,1605,19,1698,25,1788,21,1881,16
14,1602,20,1695,19,1785,16,1878,16
15,1599,22,1692,24,1782,16,1875,16
16,1596,24,1689,24,1779,16,1872,16
17,1593,18,1686,25,1776,16,1869,16
18,1590,22,1683,20,1773,16,1866,16
19,1587,20,1680,23,1770,16,1863,16
20,1584,20,1677,18,1767,16,1860,16
21,1581,18,1674,18,1764,16,1857,16
22,1578,16,1671,22,1761,16,1854,16
23,1575,16,1668,21,1758,16,1851,16
24,1572,16,1665,16,1755,16,1848,16
25,1569,16,1662,16,1752,16,1845,16
26,1566,16,1659,16,1749,16,1842,16
27,1563,16,1656,16,1746,16,1839,16
28,1560,16,1653,16,1743,16,1836,16
29,1557,16,1650,16,1740,16,1833,16
30,1554,16,1647,16,1737,16,1830,16
