Country,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,,,,,,,,,
1,0.7329255336542045,0.7309990353311193,0.8593849855776701,0.8835876122888584,0.9422794075451215,0.955530945632738,0.9906418542265742,0.9999459520391321,0.95463577667994,0.9553620534694324,0.9369735945042954,0.9513919665443678,0.9417414572578983,0.9648191163433635
2,0.42485556009433434,0.3971267492733287,0.7275703938967453,0.7585131877244241,0.8551820857156173,0.8771274412838931,0.9836648248554315,0.9834867287486542,0.8657273298959315,0.8713597870772849,0.8054507233738915,0.7864867138830218,0.94713887607911,0.9553634976426977
3,0.46859597601200975,0.4371342244217612,0.4207177712047204,0.4731580547929861,0.8287484258832659,0.8329263355339928,0.9115367049152789,0.9137474959235088,0.6697303660843286,0.6780741383853831,0.6856227479402006,0.6694164851942594,0.9336698256403192,0.9329061503331201
4,0.3527011248668247,0.3579356594897557,0.4374966803730278,0.4641534292458821,0.7472845168786967,0.7707640029274124,0.8860758712713311,0.8831180878892967,0.5657733774112832,0.5755135096591643,0.5031288195546864,0.4377933828270004,0.9484020889131612,0.9483176457643124
5,0.2865186542850937,0.28334262532956644,0.3499856805408813,0.3752851180188653,0.7132886284231273,0.7613962822380733,0.773870375208992,0.7271463681035155,0.5635242531302774,0.5804197957669551,0.48257109026082123,0.33648146011323243,0.9155830540173644,0.9129013943831981
6,0.23741888509271925,0.23877396533727058,0.3120821701464389,0.33724510900713045,0.7250135724740874,0.7817651786293442,0.6811003401146463,0.5610822214317204,0.5026016470639574,0.5467944105759994,0.4783376845079681,0.22409513532408998,0.9163771488230432,0.9305591972924128
7,0.2498470742563993,0.2702032348731982,0.16969121756088612,0.1855308291761738,0.7605877397989886,0.8016925677938167,0.6626667634334835,0.5046639631384943,0.46130382344863496,0.5072929276546,0.5197883219656387,0.26332263450826576,0.8991196886288664,0.9302489168091026
8,0.24454721816516356,0.26735676244924145,0.08690339938310854,0.09311067038500709,0.7623404958566117,0.7945143595462121,0.684797510500113,0.5046639631384943,0.384613498560307,0.42908070585382174,0.4478941868595392,0.0652798016321523,0.8933708289137652,0.9315891541158168
9,0.13483631326380785,0.18355719627657752,0.1498835644463643,0.17945941888662165,0.7252479838757337,0.7419078038716831,0.5909977884826275,0.3406958182689531,0.28166187728096814,0.39056261058658037,0.3760774102976805,-0.0046903515925125205,0.8278811949510354,0.8988195677825164
