Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,5983,24,6331,22,6703,21,7063,24,7435,20,7795,23,8167,20
2,5971,25,6319,23,6691,20,7051,19,7423,20,7783,26,8155,23
3,5959,19,6307,26,6679,21,7039,26,7411,24,7771,21,8143,23
4,5947,22,6295,22,6667,22,7027,24,7399,23,7759,26,8131,21
5,5935,27,6283,22,6655,22,7015,24,7387,25,7747,27,8119,19
6,5923,23,6271,25,6643,24,7003,27,7375,23,7735,19,8107,26
7,5911,22,6259,25,6631,23,6991,22,7363,26,7723,22,8095,25
8,5899,21,6247,23,6619,26,6979,21,7351,19,7711,23,8083,24
9,5887,24,6235,21,6607,26,6967,20,7339,26,7699,26,8071,24
10,5875,21,6223,22,6595,19,6955,26,7327,26,7687,20,8059,25
11,5863,20,6211,22,6583,22,6943,21,7315,20,7675,26,8047,27
12,5851,24,6199,24,6571,22,6931,22,7303,18,7663,25,8035,22
13,5839,22,6187,18,6559,23,6919,19,7291,22,7651,25,8023,22
14,5827,20,6175,23,6547,27,6907,19,7279,25,7639,25,8011,26
15,5815,18,6163,19,6535,24,6895,19,7267,27,7627,22,7999,25
16,5803,20,6151,22,6523,21,6883,25,7255,25,7615,23,7987,25
17,5791,24,6139,26,6511,20,6871,18,7243,25,7603,19,7975,27
18,5779,23,6127,26,6499,25,6859,25,7231,20,7591,19,7963,26
19,5767,23,6115,23,6487,22,6847,23,7219,22,7579,19,7951,21
20,5755,19,6103,19,6475,25,6835,20,7207,22,7567,20,7939,22
21,5743,19,6091,24,6463,23,6823,24,7195,20,7555,21,7927,19
22,5731,20,6079,24,6451,22,6811,20,7183,23,7543,23,7915,18
23,5719,23,6067,24,6439,23,6799,23,7171,20,7531,19,7903,18
24,5707,19,6055,25,6427,27,6787,25,7159,24,7519,19,7891,18
25,5695,18,6043,23,6415,23,6775,26,7147,22,7507,22,7879,18
26,5683,19,6031,25,6403,21,6763,24,7135,22,7495,23,7867,18
27,5671,24,6019,20,6391,22,6751,21,7123,23,7483,26,7855,18
28,5659,23,6007,23,6379,23,6739,19,7111,18,7471,23,7843,18
29,5647,22,5995,19,6367,18,6727,22,7099,23,7459,26,7831,18
30,5635,25,5983,26,6355,25,6715,25,7087,21,7447,20,7819,18
