Split,,Split 1,Split 1,Split 10,Split 10,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7,Split 8,Split 8,Split 9,Split 9
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,Prediction horizon,,,,,,,,,,,,,,,,,,,,
Yemen,1,0.7333641361333669,0.9391031659999991,1.5352899292514965,1.3151965725,1.1693096889378978,1.1734689489999992,0.7031352382676934,0.6009481445000009,0.7894594758309657,0.6180954565000006,0.39305140200744876,0.33063182099999955,1.2656983180770474,1.2456379624999978,0.950810227102026,0.5794781920000004,0.4320786745406964,0.4162283389999997,1.1355094733436624,1.1426221115000008
Yemen,2,1.9200129467771965,2.1092189869999998,2.823864106238836,2.5853265665000005,2.5652347225591376,2.8423914620000006,1.8118993179911396,1.7584262735000014,1.5265500896023307,1.8865529444999993,1.7214223271752966,1.4356054900000006,1.957995232057558,2.070213969499998,1.4318014656320963,1.3386659864999986,0.9352337515520791,0.6964971100000005,2.3922018021162996,2.6289874119999994
Yemen,3,5.156606924107257,5.7145587455,3.1296212839580204,2.769154362000001,5.056387970491106,5.95742872,2.4663905013183407,2.185602858500002,1.5391483849569592,2.8957672045000007,3.1889931957825666,2.4042512529999995,4.2936179698669,4.628614932499998,3.7135574996342937,3.7607275205,2.5834014160093215,2.1296391945000033,4.01425040406525,4.254724959000004
Yemen,4,5.027743358084848,5.837640675999998,4.346217845314722,3.794114300500003,7.847814571600057,9.259777453499996,2.375537350074806,1.7914793890000005,2.139405714908796,3.9575564470000053,5.273636700941713,3.931279353499999,5.079362244893658,5.724273364,4.288890645401475,4.410411376999999,3.477272344754919,2.8084045664999997,4.505254075487322,4.9690249514999945
Yemen,5,7.737516509960682,8.449337778500002,5.310488856283902,3.868749041500005,10.10938087454894,12.019295266499993,3.790773062077104,3.4917128715000016,3.0334969653854955,6.446770440500002,9.351618214553369,6.990794234999997,4.349901506676522,4.944836452999994,4.909079467314269,5.540683260500001,5.884998378010685,5.208835106000003,5.837871454266336,5.948916800999996
Yemen,6,9.59608403934047,9.922348120499992,5.372442524504683,3.647636932500003,12.195007216277677,13.509479477999994,6.131044074895961,6.353071220999999,4.217149679132159,7.518032835000002,12.651992882169832,9.359927528999997,4.705413218759925,5.154875397500002,6.39320605151856,7.864101670000002,8.455908897788849,7.728462284500003,5.711775543719442,5.508823806499999
Yemen,7,10.37606181397309,9.952146262499994,6.360994609807432,4.638317905500005,16.018149515666426,17.875989479499992,7.8710027403921625,7.472538406000003,7.133185081902272,12.581030646999997,16.19986792318189,11.256133492499998,7.420765516952099,7.721307001000001,7.132802965508293,8.988713450999999,8.561864646585843,7.609880252999998,6.248851836639881,6.3588114135000025
Yemen,8,13.495665420885041,12.633821336499997,8.495937081083579,6.276564902000004,17.52146390919084,19.756801192999998,7.946552064773513,6.9387831544999985,6.929467444731176,12.9623520555,18.66184976269899,11.705566735999998,9.83019551924188,9.397803937000003,9.910781805206318,12.448274191000008,9.966994376757423,9.0700447265,5.095542861522576,5.227430880000003
