AdminStrata,Adamawa,Borno,Yobe
Indicator,Fatality,Fatality,Fatality
2018-01-31,65.0,298.0,0.0
2018-02-01,72.0,455.0,0.0
2018-02-02,72.0,455.0,0.0
2018-02-03,81.0,430.0,0.0
2018-02-04,82.0,402.0,0.0
2018-02-05,82.0,401.0,0.0
2018-02-06,82.0,401.0,0.0
2018-02-07,82.0,401.0,0.0
2018-02-08,83.0,274.0,0.0
2018-02-09,90.0,272.0,10.0
2018-02-10,90.0,272.0,10.0
2018-02-11,90.0,272.0,10.0
2018-02-12,90.0,282.0,10.0
2018-02-13,90.0,282.0,10.0
2018-02-14,90.0,282.0,10.0
2018-02-15,87.0,266.0,10.0
2018-02-16,87.0,291.0,10.0
2018-02-17,87.0,275.0,10.0
2018-02-18,82.0,251.0,10.0
2018-02-19,82.0,252.0,10.0
2018-02-20,82.0,252.0,10.0
2018-02-21,79.0,252.0,12.0
2018-02-22,79.0,252.0,12.0
2018-02-23,70.0,257.0,12.0
2018-02-24,70.0,257.0,12.0
2018-02-25,70.0,245.0,12.0
2018-02-26,67.0,240.0,12.0
2018-02-27,87.0,275.0,12.0
2018-02-28,97.0,281.0,12.0
2018-03-01,60.0,298.0,12.0
2018-03-02,60.0,268.0,13.0
2018-03-03,60.0,264.0,13.0
2018-03-04,50.0,107.0,13.0
2018-03-05,50.0,112.0,13.0
2018-03-06,41.0,122.0,13.0
2018-03-07,40.0,120.0,13.0
2018-03-08,40.0,120.0,13.0
2018-03-09,40.0,120.0,13.0
2018-03-10,40.0,120.0,13.0
2018-03-11,39.0,120.0,13.0
2018-03-12,32.0,120.0,3.0
2018-03-13,32.0,120.0,3.0
2018-03-14,32.0,122.0,3.0
2018-03-15,32.0,112.0,3.0
2018-03-16,32.0,112.0,3.0
2018-03-17,32.0,117.0,3.0
2018-03-18,32.0,120.0,3.0
2018-03-19,32.0,95.0,3.0
2018-03-20,32.0,95.0,3.0
2018-03-21,32.0,94.0,3.0
2018-03-22,32.0,93.0,3.0
2018-03-23,32.0,93.0,3.0
2018-03-24,32.0,93.0,1.0
2018-03-25,32.0,93.0,1.0
2018-03-26,32.0,91.0,1.0
2018-03-27,32.0,93.0,1.0
2018-03-28,32.0,93.0,1.0
2018-03-29,32.0,91.0,1.0
2018-03-30,12.0,60.0,1.0
2018-03-31,2.0,59.0,1.0
2018-04-01,0.0,71.0,1.0
2018-04-02,0.0,71.0,0.0
2018-04-03,0.0,68.0,0.0
2018-04-04,0.0,68.0,0.0
2018-04-05,0.0,63.0,0.0
2018-04-06,5.0,53.0,0.0
2018-04-07,5.0,56.0,0.0
2018-04-08,5.0,57.0,0.0
2018-04-09,5.0,60.0,0.0
2018-04-10,5.0,60.0,0.0
2018-04-11,5.0,83.0,0.0
2018-04-12,5.0,84.0,0.0
2018-04-13,5.0,124.0,0.0
2018-04-14,5.0,128.0,0.0
2018-04-15,5.0,131.0,0.0
2018-04-16,5.0,131.0,0.0
2018-04-17,5.0,126.0,0.0
2018-04-18,5.0,123.0,0.0
2018-04-19,5.0,124.0,0.0
2018-04-20,5.0,124.0,0.0
2018-04-21,5.0,132.0,0.0
2018-04-22,5.0,169.0,0.0
2018-04-23,5.0,172.0,0.0
2018-04-24,5.0,172.0,0.0
2018-04-25,5.0,172.0,0.0
2018-04-26,5.0,178.0,0.0
2018-04-27,5.0,176.0,0.0
