"SvyDate","Date","Dmgrph","DmgrphCode","Mean_crrnt","Pop","PopNmbr"
"2020-4-1_2020-5-1",2020-05-01,Abyan,3407,37.34689999999999,615154,229740
"2020-4-1_2020-5-1",2020-05-01,Aden,3409,28.771030000000003,997308,286935
"2020-4-1_2020-5-1",2020-05-01,Al Bayda,3410,52.8108,775404,409497
"2020-4-1_2020-5-1",2020-05-01,Al Dhale'e,3408,51.53674,779656,401809
"2020-4-1_2020-5-1",2020-05-01,Al Hudaydah,3411,26.48836,2985122,790709
"2020-4-1_2020-5-1",2020-05-01,Al Jawf,3412,54.34952,603816,328171
"2020-4-1_2020-5-1",2020-05-01,Al Maharah,3413,25.40513,169327,43017
"2020-4-1_2020-5-1",2020-05-01,Al Mahwit,3414,34.16387000000001,774511,264602
"2020-4-1_2020-5-1",2020-05-01,Amanat Al Asimah,144969,30.74677,3406643,1047432
"2020-4-1_2020-5-1",2020-05-01,Amran,3415,54.55545999999999,1205960,657917
"2020-4-1_2020-5-1",2020-05-01,Dhamar,3416,42.57751,2176229,926584
"2020-4-1_2020-5-1",2020-05-01,Hadramaut,900100,33.93284,1510895,512689
"2020-4-1_2020-5-1",2020-05-01,Hajjah,3418,31.27183,2510327,785025
"2020-4-1_2020-5-1",2020-05-01,Ibb,3419,50.747730000000004,3080130,1563096
"2020-4-1_2020-5-1",2020-05-01,Lahj,3420,53.952960000000004,1058219,570940
"2020-4-1_2020-5-1",2020-05-01,Marib,3421,38.79037,495634,192258
"2020-4-1_2020-5-1",2020-05-01,Raymah,144971,57.969139999999996,646854,374975
"2020-4-1_2020-5-1",2020-05-01,Sa'ada,3422,33.00844000000001,981401,323945
"2020-4-1_2020-5-1",2020-05-01,Sana'a,3423,24.342620000000004,1469960,357826
"2020-4-1_2020-5-1",2020-05-01,Shabwah,3424,46.13475,665881,307202
"2020-4-1_2020-5-1",2020-05-01,Socotra,900101,33.93284,68247,23158
"2020-4-1_2020-5-1",2020-05-01,Taizz,3425,38.82682,3065034,1190055
"2020-4-2_2020-5-2",2020-05-02,Abyan,3407,35.976090000000006,615154,221308
"2020-4-2_2020-5-2",2020-05-02,Aden,3409,29.4593,997308,293799
"2020-4-2_2020-5-2",2020-05-02,Al Bayda,3410,53.24526,775404,412865
"2020-4-2_2020-5-2",2020-05-02,Al Dhale'e,3408,52.1888,779656,406893
"2020-4-2_2020-5-2",2020-05-02,Al Hudaydah,3411,25.64473,2985122,765526
"2020-4-2_2020-5-2",2020-05-02,Al Jawf,3412,51.15702000000001,603816,308894
