AdminStrata,Abyan,Abyan,Aden,Aden,Al Bayda,Al Bayda,Al Dhale'e,Al Dhale'e,Al Hudaydah,Al Hudaydah,Al Jawf,Al Jawf,Al Maharah,Al Maharah,Al Mahwit,Al Mahwit,Amanat Al Asimah,Amanat Al Asimah,Amran,Amran,Dhamar,Dhamar,Hadramaut,Hadramaut,Hajjah,Hajjah,Ibb,Ibb,Lahj,Lahj,Marib,Marib,Raymah,Raymah,Sa'ada,Sa'ada,Sana'a,Sana'a,Shabwah,Shabwah,Socotra,Socotra,Taizz,Taizz
Indicator,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly
2016-01-10,0.1043128,94.70622026483629,0.0729458,95.7894818854694,0.120401,97.733726483677,0.1636526,99.14439405948309,0.140802,89.05186890283458,0.0994575,99.0270722255093,0.1283754,98.72333784032841,0.2057487,89.7634409809834,0.1460643,102.1662564855595,0.1413391,97.7556556924774,0.1624934,95.96310205733221,0.13036255,99.0804861005821,0.1484807,86.9620861012749,0.21626700000000001,95.8049295100642,0.1078843,92.3814310657161,0.0946284,98.773293558596,0.24181980000000003,98.79968892736454,0.1300917,98.25200482062591,0.13974879999999998,98.43861619591351,0.10743889999999999,97.6140683290852,0.26634165,97.7531629630111,0.159686,92.33103657204849
2016-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-20,0.114902,101.873485661898,0.07844169999999999,99.9902689051818,0.1236575,100.43166690860201,0.1841036,110.17547327427,0.19306510000000002,114.841266203991,0.09963480000000001,99.15545297738441,0.13081320000000002,100.199608762392,0.27478969999999997,116.086163827505,0.1371571,98.4408383275107,0.14370750000000002,99.72226083285709,0.1746582,103.032621143182,0.1364067,102.508395872756,0.1993739,110.988771336086,0.23805079999999998,106.08406342266301,0.1213952,101.05336639769399,0.0961187,99.97071732296119,0.2673428,109.501086754364,0.1363126,102.197004727732,0.13917020000000002,99.17153559230509,0.12088789999999999,106.25341586328501,0.2979476,109.857258774907,0.1853205,105.360232999102
2016-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-31,0.112327,101.549641257204,0.0783625,99.81531881804041,0.1225245,101.3797439717,0.1777723,110.434840368794,0.17868889999999998,111.224599970819,0.0997525,99.2712715393519,0.1300467,100.11482416055999,0.24615770000000003,110.76624385967399,0.1356786,99.0474453002518,0.1411489,100.118949224237,0.16509379999999999,101.98098196624599,0.13595120000000002,102.537815227994,0.18461429999999998,108.38260144889401,0.2221257,105.280146024202,0.1188374,101.177970860248,0.095775,100.114485231955,0.2405794,104.803825141933,0.13326629999999998,101.712164358899,0.1348913,99.1001242427783,0.1200586,106.40180495386299,0.27223569999999997,106.577610465278,0.17535150000000002,104.541724326213
2016-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-10,0.1111098,101.43090086063101,0.07817919999999999,99.6921641065526,0.1216817,101.58187590898001,0.17413499999999998,110.55521521112699,0.1714111,109.40164647646999,0.0997682,99.3018881310374,0.1295714,100.05404670526801,0.2317705,108.189762748569,0.1343643,98.7791659902413,0.13909470000000002,100.02724245040301,0.1599,101.16252562197599,0.13546229999999998,102.42727427868,0.1770125,107.141458110233,0.213652,104.67070366048901,0.11705499999999999,101.144310235219,0.09561950000000001,100.181830440191,0.2291127,103.105358094732,0.1310318,101.20892673649,0.1324719,98.91341114635799,0.1194778,106.360567506387,0.2601095,105.184404557829,0.1691991,103.807653856882
2016-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
