"Year","Month","Dekad","NDVI Anomaly"
2018,1,1,101.577842413921
2018,1,2,96.1383722453694
2018,1,3,96.9385498039046
2018,2,1,97.3901271859142
2018,2,2,98.5515264125851
2018,2,3,100.588641792401
2018,3,1,105.269881039107
2018,3,2,105.727633080863
2018,3,3,105.046567913647
2018,4,1,103.230738932553
2018,4,2,99.4441537847663
2018,4,3,97.2052655451626
2018,5,1,95.4264987771331
2018,5,2,95.512112428172
2018,5,3,100.630930771513
2018,6,1,102.679322205074
2018,6,2,102.608240901084
2018,6,3,102.136016298562
2018,7,1,102.737632865425
2018,7,2,102.837267663219
2018,7,3,103.362212470775
2018,8,1,103.083536175649
2018,8,2,103.309190075503
2018,8,3,103.552465397187
2018,9,1,103.545347392804
2018,9,2,102.153431221526
2018,9,3,101.621379037842
2018,10,1,101.543400028107
2018,10,2,102.030085540696
2018,10,3,103.630944032635
2018,11,1,103.614174948741
2018,11,2,103.358241155622
2018,11,3,103.564046613858
2018,12,1,103.960760358494
2018,12,2,104.255855762994
2018,12,3,104.286973809219
2019,1,1,N/A,
2019,1,2,103.073825153317
2019,1,3,102.882238726561
2019,2,1,102.583157842843
2019,2,2,102.090369963082
2019,2,3,101.385523678222
2019,3,1,100.892441190908
2019,3,2,101.154527890775
2019,3,3,101.35194284836
2019,4,1,100.829547946705
2019,4,2,98.6559450970096
2019,4,3,98.2254938757188
2019,5,1,98.4304606187396
2019,5,2,99.2157572432167
2019,5,3,100.715548982578
2019,6,1,101.150162196014
2019,6,2,101.761305533992
2019,6,3,102.411461467401
2019,7,1,104.236871969382
2019,7,2,103.501932168506
2019,7,3,103.727570448619
2019,8,1,102.738453206053
2019,8,2,102.706316687351
2019,8,3,102.223692732074
2019,9,1,102.087442808946
2019,9,2,101.711178771882
2019,9,3,101.661834487909
2019,10,1,102.104938275265
2019,10,2,103.20537881079
2019,10,3,106.791040511971
2019,11,1,107.980716655055
2019,11,2,108.223845205504
2019,11,3,107.325901824419
2019,12,1,106.500060465679
2019,12,2,105.578498010019
2019,12,3,105.029148444698
2020,1,1,N/A,
2020,1,2,104.442158530114
2020,1,3,102.932137848533
2020,2,1,102.362642743554
2020,2,2,101.925384413284
2020,2,3,101.445300108201
2020,3,1,100.116483915805
2020,3,2,99.9474347754328
2020,3,3,100.075541555936
2020,4,1,100.265883794139
2020,4,2,99.8364796794394
2020,4,3,99.4039590193262
2020,5,1,98.131671605274
2020,5,2,96.1174664287265
2020,5,3,91.4988946729811
2020,6,1,89.2268429761886
2020,6,2,86.7791404174007
2020,6,3,83.371895510722
2020,7,1,N/A,
2020,7,2,N/A,
2020,7,3,N/A,
2020,8,1,N/A,
2020,8,2,N/A,
2020,8,3,N/A,
2020,9,1,N/A,
2020,9,2,N/A,
2020,9,3,N/A,
2020,10,1,N/A,
2020,10,2,N/A,
2020,10,3,N/A,
2020,11,1,N/A,
2020,11,2,N/A,
2020,11,3,N/A,
2020,12,1,N/A,
2020,12,2,N/A,
2020,12,3,N/A,