"Year","Month","Dekad","NDVI Anomaly"
2017,1,1,100.311808642519
2017,1,1,99.9463312791244
2017,1,2,101.27308257344
2017,1,3,101.028890606542
2017,2,1,100.907764231928
2017,2,2,100.83286355708
2017,2,3,100.798951889749
2017,3,1,100.808935854506
2017,3,2,100.825475532703
2017,3,3,100.846766568578
2017,4,1,100.874928531916
2017,4,2,100.861673136669
2017,4,3,100.779595701431
2017,5,1,100.650913376313
2017,5,2,100.505576286858
2017,5,3,100.19696617832
2017,6,1,100.06191794647
2017,6,2,99.9417135422849
2017,6,3,99.8193482056694
2017,7,1,99.7769645698579
2017,7,2,99.7537579133738
2017,7,3,99.7960181786354
2017,8,1,100.024149674613
2017,8,2,100.150028867072
2017,8,3,100.250277125761
2017,9,1,100.319361674609
2017,9,2,100.387728950936
2017,9,3,100.42918029275
2017,10,1,100.481925480702
2017,10,2,100.535935301647
2017,10,3,100.640376393133
2017,11,1,100.680256351883
2017,11,2,100.685551383913
2017,11,3,100.596403691701
2017,12,1,100.518319750878
2017,12,2,100.438060869986
2017,12,3,100.363769366246
2018,1,1,99.0873004567142
2018,1,1,101.380611280105
2018,1,2,100.167451575218
2018,1,3,100.078819079388
2018,2,1,100.078768819482
2018,2,2,100.125281036735
2018,2,3,100.166370918257
2018,3,1,100.122899852547
2018,3,2,100.080364247134
2018,3,3,99.9555450869027
2018,4,1,99.8727171667995
2018,4,2,99.6945549281012
2018,4,3,99.6076198295669
2018,5,1,99.5279438826252
2018,5,2,99.4668432171161
2018,5,3,99.4814172302069
2018,6,1,99.5628659201636
2018,6,2,99.6419925083003
2018,6,3,99.7256350873604
2018,7,1,99.9682426369286
2018,7,2,99.9757564747911
2018,7,3,99.9753457936182
2018,8,1,99.8686444494108
2018,8,2,99.8485061373327
2018,8,3,99.7924547361258
2018,9,1,99.7593677766392
2018,9,2,99.735780680765
2018,9,3,99.7919887226944
2018,10,1,99.9188857935772
2018,10,2,100.101884566967
2018,10,3,100.578786473504
2018,11,1,100.832270053632
2018,11,2,101.037893678958
2018,11,3,101.365441840869
2018,12,1,101.44610084145
2018,12,2,101.452339759242
2018,12,3,101.405713498163
2019,1,2,101.016902205497
2019,1,3,100.594358171397
2019,2,1,100.358040088555
2019,2,2,100.154993003097
2019,2,3,99.9958871623078
2019,3,1,99.8392745988833
2019,3,2,99.800117991438
2019,3,3,99.7899339479612
2019,4,1,99.8080476710359
2019,4,2,99.9072401083171
2019,4,3,99.9874856813682
2019,5,1,100.09157915145
2019,5,2,100.24524815171
2019,5,3,100.668904287141
2019,6,1,100.899300227871
2019,6,2,101.130319633916
2019,6,3,101.331045077272
2019,7,1,101.601411734879
2019,7,1,101.888962648404
2019,7,2,101.835228179659
2019,7,3,101.754056585747
2019,8,1,101.450314712956
2019,8,2,101.347263221752
2019,8,3,101.352799036639
2019,9,1,101.203094790392
2019,9,2,101.049137251815
2019,9,3,101.076686471597
2019,10,1,101.12350117209
2019,10,2,101.254152077096
2019,10,3,101.441309966651
2019,11,1,101.459318300941
2019,11,2,101.636253254797
2019,11,3,101.704351236264
2019,12,1,101.678393957464
2019,12,2,101.798163338195
2019,12,3,101.727606318058