"Year","Month","Dekad","NDVI","Average"
2015,1,1,0.1462647,0.145732
2015,1,1,0.1566184,0.145732
2016,1,1,0.1413391,0.145732
2017,1,1,0.1510519,0.145732
2017,1,1,0.1512947,0.145732
2017,1,2,0.1568838,0.144247
2016,1,2,0.1437075,0.144247
2015,1,2,0.1489737,0.144247
2015,1,3,0.1446898,0.1409218
2016,1,3,0.1411489,0.1409218
2017,1,3,0.1520143,0.1409218
2017,2,1,0.1496613,0.1390432
2016,2,1,0.1390947,0.1390432
2015,2,1,0.143312,0.1390432
2015,2,2,0.1411102,0.1370481
2016,2,2,0.1374195,0.1370481
2017,2,2,0.1482034,0.1370481
2017,2,3,0.1477038,0.1350624
2016,2,3,0.1363827,0.1350624
2015,2,3,0.1379936,0.1350624
2015,3,1,0.1336647,0.1318485
2016,3,1,0.133785,0.1318485
2017,3,1,0.1470135,0.1318485
2017,3,2,0.1468237,0.1313861
2016,3,2,0.1322425,0.1313861
2015,3,2,0.1345639,0.1313861
2015,3,3,0.1369301,0.1319872
2016,3,3,0.1323447,0.1319872
2017,3,3,0.1466816,0.1319872
2017,4,1,0.1466955,0.1340346
2016,4,1,0.1348737,0.1340346
2015,4,1,0.1394823,0.1340346
2015,4,2,0.1399575,0.1421086
2016,4,2,0.1495316,0.1421086
2017,4,2,0.1479703,0.1421086
2017,4,3,0.1504511,0.147256
2016,4,3,0.1606489,0.147256
2015,4,3,0.140797,0.147256
2015,5,1,0.1434523,0.1518316
2016,5,1,0.1719425,0.1518316
2017,5,1,0.1557098,0.1518316
2017,5,2,0.1633571,0.155535
2016,5,2,0.1813917,0.155535
2015,5,2,0.1474207,0.155535
2015,5,3,0.1538639,0.1587128
2016,5,3,0.1857538,0.1587128
2017,5,3,0.1768526,0.1587128
2017,6,1,0.1770617,0.1580466
2016,6,1,0.1817797,0.1580466
2015,6,1,0.1564504,0.1580466
2015,6,2,0.1578617,0.1563079
2016,6,2,0.1764827,0.1563079
2017,6,2,0.1743398,0.1563079
2017,6,3,0.1702831,0.1541436
2016,6,3,0.1713406,0.1541436
2015,6,3,0.1585925,0.1541436
2015,7,1,0.1571925,0.1495609
2016,7,1,0.1670056,0.1495609
2017,7,1,0.161203,0.1495609
2017,7,2,0.1581805,0.1503906
2016,7,2,0.1715906,0.1503906
2015,7,2,0.1553733,0.1503906
2015,7,3,0.1542947,0.1533707
2016,7,3,0.1825248,0.1533707
2017,7,3,0.1585421,0.1533707
2017,8,1,0.1720135,0.1648951
2016,8,1,0.2145293,0.1648951
2015,8,1,0.1596538,0.1648951
2015,8,2,0.1657244,0.1718365
2016,8,2,0.2254184,0.1718365
2017,8,2,0.1825688,0.1718365
2017,8,3,0.1923387,0.1777966
2016,8,3,0.2313207,0.1777966
2015,8,3,0.1721748,0.1777966
2015,9,1,0.1769571,0.1811692
2016,9,1,0.2319966,0.1811692
2017,9,1,0.1987015,0.1811692
2017,9,2,0.1956429,0.1781714
2016,9,2,0.2162861,0.1781714
2015,9,2,0.1749421,0.1781714
2015,9,3,0.1681996,0.1733586
2016,9,3,0.2043996,0.1733586
2017,9,3,0.1882402,0.1733586
2017,10,1,0.1799447,0.1679383
2016,10,1,0.1927861,0.1679383
2015,10,1,0.1608741,0.1679383
2015,10,2,0.1550466,0.1629714
2016,10,2,0.183335,0.1629714
2017,10,2,0.1726906,0.1629714
2017,10,3,0.163641,0.1560376
2016,10,3,0.171694,0.1560376
2015,10,3,0.149168,0.1560376
2015,11,1,0.1480793,0.1540617
2016,11,1,0.1687305,0.1540617
2017,11,1,0.1615203,0.1540617
2017,11,2,0.1594241,0.1526523
2016,11,2,0.1673556,0.1526523
2015,11,2,0.1473571,0.1526523
2015,11,3,0.1467688,0.1509199
2016,11,3,0.1660192,0.1509199
2017,11,3,0.1556256,0.1509199
2017,12,1,0.1538658,0.1501898
2016,12,1,0.165047,0.1501898
2015,12,1,0.1465962,0.1501898
2015,12,2,0.1457286,0.1491688
2016,12,2,0.1636068,0.1491688
2017,12,2,0.1519489,0.1491688
2017,12,3,0.1505654,0.148182
2016,12,3,0.1622128,0.148182
2015,12,3,0.1451887,0.148182