"Year","Month","Dekad","NDVI","Average"
2017,1,1,0.1886121,0.1714324
2017,1,1,0.1793008,0.1714324
2018,1,1,0.1783293,0.1714324
2018,1,1,0.1868797,0.1714324
2018,1,2,0.1699391,0.1680457
2017,1,2,0.1820273,0.1680457
2019,1,2,0.1851926,0.1680457
2019,1,3,0.1719715,0.1609156
2017,1,3,0.1710559,0.1609156
2018,1,3,0.1645285,0.1609156
2018,2,1,0.1610559,0.1574879
2017,2,1,0.1670414,0.1574879
2019,2,1,0.1662758,0.1574879
2019,2,2,0.1618684,0.1542281
2017,2,2,0.1642203,0.1542281
2018,2,2,0.1589117,0.1542281
2018,2,3,0.1566074,0.1511488
2017,2,3,0.1628426,0.1511488
2019,2,3,0.1586473,0.1511488
2019,3,1,0.155066,0.146698
2017,3,1,0.160807,0.146698
2018,3,1,0.150377,0.146698
2018,3,2,0.1490363,0.1468234
2017,3,2,0.1599887,0.1468234
2019,3,2,0.154316,0.1468234
2019,3,3,0.1550477,0.1494691
2017,3,3,0.1601609,0.1494691
2018,3,3,0.1513734,0.1494691
2018,4,1,0.1578844,0.1552355
2017,4,1,0.1627422,0.1552355
2019,4,1,0.1583527,0.1552355
2019,4,2,0.1801891,0.1747566
2017,4,2,0.1751332,0.1747566
2018,4,2,0.1836809,0.1747566
2018,4,3,0.2018758,0.1869684
2017,4,3,0.1846531,0.1869684
2019,4,3,0.1964621,0.1869684
2019,5,1,0.2097996,0.1983277
2017,5,1,0.1994176,0.1983277
2018,5,1,0.2195742,0.1983277
2018,5,2,0.2326699,0.2075707
2017,5,2,0.218157,0.2075707
2019,5,2,0.2236223,0.2075707
2019,5,3,0.2571008,0.2144133
2017,5,3,0.2491484,0.2144133
2018,5,3,0.243584,0.2144133
2018,6,1,0.243125,0.2117285
2017,6,1,0.2506117,0.2117285
2019,6,1,0.270927,0.2117285
2019,6,2,0.2778363,0.2064371
2017,6,2,0.2437258,0.2064371
2018,6,2,0.2400504,0.2064371
2018,6,3,0.2332121,0.2011648
2017,6,3,0.2329672,0.2011648
2019,6,3,0.2790043,0.2011648
2019,7,1,0.2688445,0.1941125
2019,7,1,0.2671051,0.1941125
2017,7,1,0.2095812,0.1941125
2018,7,1,0.2185773,0.1941125
2018,7,2,0.2167109,0.1983273
2017,7,2,0.2041105,0.1983273
2019,7,2,0.2674309,0.1983273
2019,7,3,0.2760863,0.2078
2017,7,3,0.2095199,0.2078
2018,7,3,0.2223082,0.2078
2018,8,1,0.251368,0.2401438
2017,8,1,0.255716,0.2401438
2019,8,1,0.312759,0.2401438
2019,8,2,0.329468,0.2588527
2017,8,2,0.2854801,0.2588527
2018,8,2,0.269718,0.2588527
2018,8,3,0.2857238,0.2743527
2017,8,3,0.3060586,0.2743527
2019,8,3,0.33845,0.2743527
2019,9,1,0.337993,0.2826773
2017,9,1,0.3163102,0.2826773
2018,9,1,0.2947586,0.2826773
2018,9,2,0.2814395,0.2731523
2017,9,2,0.3020969,0.2731523
2019,9,2,0.314625,0.2731523
2019,9,3,0.3040871,0.2595316
2017,9,3,0.2795762,0.2595316
2018,9,3,0.2628938,0.2595316
2018,10,1,0.2453199,0.2441078
2017,10,1,0.2549809,0.2441078
2019,10,1,0.2978543,0.2441078
2019,10,2,0.294116,0.2295254
2017,10,2,0.2339965,0.2295254
2018,10,2,0.2340273,0.2295254
2018,10,3,0.2335332,0.206882
2017,10,3,0.2081223,0.206882
2019,10,3,0.2816312,0.206882
2019,11,1,0.2693789,0.1993648
2017,11,1,0.2006496,0.1993648
2018,11,1,0.2391531,0.1993648
2018,11,2,0.2431242,0.1937262
2017,11,2,0.1940301,0.1937262
2019,11,2,0.2575332,0.1937262
2019,11,3,0.247793,0.1865578
2017,11,3,0.1842,0.1865578
2018,11,3,0.2358906,0.1865578
2018,12,1,0.2268027,0.1840535
2017,12,1,0.1806246,0.1840535
2019,12,1,0.248684,0.1840535
2019,12,2,0.2477227,0.1812176
2017,12,2,0.1766395,0.1812176
2018,12,2,0.2181766,0.1812176
2018,12,3,0.2094781,0.1782484
2017,12,3,0.1733898,0.1782484
2019,12,3,0.2451691,0.1782484