"Year","Month","Dekad","NDVI","Average"
2018,1,1,0.2788048,0.2453651
2018,1,2,0.2327032,0.2398079
2018,1,3,0.2265825,0.2272603
2018,2,1,0.219054,0.2207063
2018,2,2,0.2124873,0.213719
2018,2,3,0.2071333,0.2066238
2018,3,1,0.1954857,0.1964397
2018,3,2,0.1919556,0.1962222
2018,3,3,0.1925905,0.2007873
2018,4,1,0.2016889,0.2106825
2018,4,2,0.2573016,0.2431079
2018,4,3,0.2968063,0.2630905
2018,5,1,0.329654,0.2821095
2018,5,2,0.3504349,0.2986762
2018,5,3,0.3673825,0.3138714
2018,6,1,0.3658397,0.3102921
2018,6,2,0.3562222,0.3018
2018,6,3,0.3387968,0.2926492
2018,7,1,0.3018603,0.2766
2018,7,2,0.2946841,0.2797873
2018,7,3,0.3018079,0.2911222
2018,8,1,0.3506857,0.3328302
2018,8,2,0.3755095,0.3573143
2018,8,3,0.3913714,0.3773572
2018,9,1,0.3986476,0.3883254
2018,9,2,0.3846905,0.3803794
2018,9,3,0.3644937,0.3650794
2018,10,1,0.3456159,0.3473746
2018,10,2,0.3335079,0.330519
2018,10,3,0.3378095,0.3032032
2018,11,1,0.3431127,0.2921143
2018,11,2,0.3433032,0.2829889
2018,11,3,0.3189254,0.2698238
2018,12,1,0.3016508,0.2651746
2018,12,2,0.2877397,0.260773
2018,12,3,0.2740603,0.2559841
2019,1,1,N/A,0.2453651
2019,1,2,0.2386095,0.2398079
2019,1,3,0.2107413,0.2272603
2019,2,1,0.2002794,0.2207063
2019,2,2,0.1946952,0.213719
2019,2,3,0.1899714,0.2066238
2019,3,1,0.1819603,0.1964397
2019,3,2,0.1770825,0.1962222
2019,3,3,0.1734825,0.2007873
2019,4,1,0.175427,0.2106825
2019,4,2,0.2059619,0.2431079
2019,4,3,0.233727,0.2630905
2019,5,1,0.2597476,0.2821095
2019,5,2,0.2866762,0.2986762
2019,5,3,0.3410841,0.3138714
2019,6,1,0.3648349,0.3102921
2019,6,2,0.3837587,0.3018
2019,6,3,0.3946428,0.2926492
2019,7,1,0.3800444,0.2766
2019,7,2,0.3669175,0.2797873
2019,7,3,0.3635302,0.2911222
2019,8,1,0.3969524,0.3328302
2019,8,2,0.4211571,0.3573143
2019,8,3,0.4362143,0.3773572
2019,9,1,0.4396873,0.3883254
2019,9,2,0.4285286,0.3803794
2019,9,3,0.4242651,0.3650794
2019,10,1,0.4268746,0.3473746
2019,10,2,0.433146,0.330519
2019,10,3,0.4322333,0.3032032
2019,11,1,0.4192905,0.2921143
2019,11,2,0.4063444,0.2829889
2019,11,3,0.3900159,0.2698238
2019,12,1,0.3883794,0.2651746
2019,12,2,0.385554,0.260773
2019,12,3,0.379281,0.2559841
2020,1,1,N/A,0.2453651
2020,1,2,0.3428587,0.2398079
2020,1,3,0.319527,0.2272603
2020,2,1,0.3112143,0.2207063
2020,2,2,0.3035603,0.213719
2020,2,3,0.2927175,0.2066238
2020,3,1,0.270973,0.1964397
2020,3,2,0.2650778,0.1962222
2020,3,3,0.263581,0.2007873
2020,4,1,N/A,0.2106825
2020,4,2,N/A,0.2431079
2020,4,3,N/A,0.2630905
2020,5,1,N/A,0.2821095
2020,5,2,N/A,0.2986762
2020,5,3,N/A,0.3138714
2020,6,1,N/A,0.3102921
2020,6,2,N/A,0.3018
2020,6,3,N/A,0.2926492
2020,7,1,N/A,0.2766
2020,7,2,N/A,0.2797873
2020,7,3,N/A,0.2911222
2020,8,1,N/A,0.3328302
2020,8,2,N/A,0.3573143
2020,8,3,N/A,0.3773572
2020,9,1,N/A,0.3883254
2020,9,2,N/A,0.3803794
2020,9,3,N/A,0.3650794
2020,10,1,N/A,0.3473746
2020,10,2,N/A,0.330519
2020,10,3,N/A,0.3032032
2020,11,1,N/A,0.2921143
2020,11,2,N/A,0.2829889
2020,11,3,N/A,0.2698238
2020,12,1,N/A,0.2651746
2020,12,2,N/A,0.260773
2020,12,3,N/A,0.2559841