"Year","Month","Dekad","NDVI","Average"
2015,1,1,0.1713607,0.1771024
2015,1,1,0.1965202,0.1771024
2016,1,1,0.159686,0.1771024
2017,1,1,0.1889199,0.1771024
2017,1,1,0.1877583,0.1771024
2017,1,2,0.1743399,0.1733485
2016,1,2,0.1853205,0.1733485
2015,1,2,0.1829881,0.1733485
2015,1,3,0.1727131,0.1655613
2016,1,3,0.1753515,0.1655613
2017,1,3,0.1638792,0.1655613
2017,2,1,0.1602161,0.1611589
2016,2,1,0.1691991,0.1611589
2015,2,1,0.1683411,0.1611589
2015,2,2,0.1630116,0.1564083
2016,2,2,0.163322,0.1564083
2017,2,2,0.1574372,0.1564083
2017,2,3,0.1549958,0.1517176
2016,2,3,0.1567747,0.1517176
2015,2,3,0.1575104,0.1517176
2015,3,1,0.1463003,0.1440765
2016,3,1,0.1468458,0.1440765
2017,3,1,0.1475932,0.1440765
2017,3,2,0.1442003,0.1421033
2016,3,2,0.1429405,0.1421033
2015,3,2,0.1435878,0.1421033
2015,3,3,0.1431911,0.1413949
2016,3,3,0.1403009,0.1413949
2017,3,3,0.1422714,0.1413949
2017,4,1,0.1428622,0.1422735
2016,4,1,0.1406824,0.1422735
2015,4,1,0.1437982,0.1422735
2015,4,2,0.1415446,0.1486158
2016,4,2,0.158581,0.1486158
2017,4,2,0.151611,0.1486158
2017,4,3,0.1613509,0.1542018
2016,4,3,0.1744952,0.1542018
2015,4,3,0.1409827,0.1542018
2015,5,1,0.1442952,0.1605259
2016,5,1,0.1898527,0.1605259
2017,5,1,0.1757804,0.1605259
2017,5,2,0.193908,0.1677967
2016,5,2,0.2040092,0.1677967
2015,5,2,0.1527521,0.1677967
2015,5,3,0.1802685,0.1834315
2016,5,3,0.2222188,0.1834315
2017,5,3,0.2288753,0.1834315
2017,6,1,0.2399708,0.1896033
2016,6,1,0.2249917,0.1896033
2015,6,1,0.1935958,0.1896033
2015,6,2,0.2026143,0.1932655
2016,6,2,0.2229143,0.1932655
2017,6,2,0.2425869,0.1932655
2017,6,3,0.2399964,0.1939399
2016,6,3,0.2162988,0.1939399
2015,6,3,0.2055089,0.1939399
2015,7,1,0.1975851,0.1872693
2016,7,1,0.2028601,0.1872693
2017,7,1,0.2240158,0.1872693
2017,7,2,0.2133973,0.1844247
2016,7,2,0.2059964,0.1844247
2015,7,2,0.1926818,0.1844247
2015,7,3,0.1884598,0.1830622
2016,7,3,0.2178143,0.1830622
2017,7,3,0.2042244,0.1830622
2017,8,1,0.2004982,0.1883562
2016,8,1,0.2535667,0.1883562
2015,8,1,0.1892455,0.1883562
2015,8,2,0.1970613,0.1960274
2016,8,2,0.2629286,0.1960274
2017,8,2,0.2062057,0.1960274
2017,8,3,0.2168902,0.2068414
2016,8,3,0.2672947,0.2068414
2015,8,3,0.2105042,0.2068414
2015,9,1,0.2282574,0.2192399
2016,9,1,0.268997,0.2192399
2017,9,1,0.2323673,0.2192399
2017,9,2,0.2670726,0.2428393
2016,9,2,0.2692872,0.2428393
2015,9,2,0.2592982,0.2428393
2015,9,3,0.2625729,0.2502506
2016,9,3,0.2710887,0.2502506
2017,9,3,0.2768949,0.2502506
2017,10,1,0.2810872,0.2533301
2016,10,1,0.2723086,0.2533301
2015,10,1,0.2596982,0.2533301
2015,10,2,0.2534792,0.2505464
2016,10,2,0.2694869,0.2505464
2017,10,2,0.2798518,0.2505464
2017,10,3,0.2617899,0.2336899
2016,10,3,0.2498193,0.2336899
2015,10,3,0.2386601,0.2336899
2015,11,1,0.2319214,0.2230798
2016,11,1,0.2360926,0.2230798
2017,11,1,0.2478173,0.2230798
2017,11,2,0.2332155,0.2131777
2016,11,2,0.2234155,0.2131777
2015,11,2,0.2255342,0.2131777
2015,11,3,0.2138387,0.1990774
2016,11,3,0.2048298,0.1990774
2017,11,3,0.2091387,0.1990774
2017,12,1,0.2002363,0.1944336
2016,12,1,0.1991571,0.1944336
2015,12,1,0.2088792,0.1944336
2015,12,2,0.2038574,0.1900878
2016,12,2,0.193761,0.1900878
2017,12,2,0.1930071,0.1900878
2017,12,3,0.1876438,0.1857857
2016,12,3,0.1888405,0.1857857
2015,12,3,0.1997435,0.1857857