"Year","Month","Dekad","NDVI Anomaly"
2018,1,1,98.0037495523709
2018,1,2,94.1522924606406
2018,1,3,95.3162886936589
2018,2,1,95.8118249725727
2018,2,2,96.8631833395314
2018,2,3,98.1263622343584
2018,3,1,100.071617154814
2018,3,2,100.925916278414
2018,3,3,101.032383341087
2018,4,1,99.7103210341705
2018,4,2,98.5175113717481
2018,4,3,98.6425073627254
2018,5,1,98.5616160739404
2018,5,2,98.5760331543
2018,5,3,97.9163790013565
2018,6,1,97.9828638098924
2018,6,2,99.0606124039581
2018,6,3,102.468718471762
2018,7,1,114.725796821281
2018,7,2,118.707672477951
2018,7,3,119.431143480676
2018,8,1,113.02877899374
2018,8,2,109.881383067497
2018,8,3,107.953224935579
2018,9,1,107.062089739613
2018,9,2,106.317678307806
2018,9,3,106.105617611615
2018,10,1,105.703128055784
2018,10,2,104.8928895631
2018,10,3,104.055895094277
2018,11,1,103.736927203566
2018,11,2,103.245396370979
2018,11,3,102.875482520912
2018,12,1,102.873789392683
2018,12,2,102.80508544304
2018,12,3,102.973448655906
2019,1,1,N/A,
2019,1,2,102.900351002032
2019,1,3,103.687883499929
2019,2,1,103.940856196666
2019,2,2,102.960171067311
2019,2,3,102.866378206527
2019,3,1,105.072506943707
2019,3,2,105.525682404906
2019,3,3,104.720038835737
2019,4,1,103.600174123526
2019,4,2,102.589933642128
2019,4,3,102.487245300153
2019,5,1,102.185436827743
2019,5,2,102.590122667413
2019,5,3,106.914187490011
2019,6,1,111.448758503354
2019,6,2,116.393746939033
2019,6,3,119.170516968091
2019,7,1,117.603367176423
2019,7,2,114.550908846967
2019,7,3,111.792678724584
2019,8,1,105.975980509586
2019,8,2,104.034430853486
2019,8,3,102.622899217697
2019,9,1,101.161990606555
2019,9,2,99.4283778123836
2019,9,3,99.5500103956329
2019,10,1,101.371213495052
2019,10,2,104.596693793853
2019,10,3,114.373141915143
2019,11,1,118.879267643018
2019,11,2,121.157116976932
2019,11,3,120.026827307405
2019,12,1,118.552898799201
2019,12,2,116.506346905609
2019,12,3,114.744993540412
2020,1,1,N/A,
2020,1,2,109.947212852285
2020,1,3,108.294292289208
2020,2,1,108.49152268267
2020,2,2,108.55671253254
2020,2,3,108.1536970258
2020,3,1,107.658695131493
2020,3,2,107.405366587507
2020,3,3,106.974129735634
2020,4,1,105.829166014784
2020,4,2,104.417375967119
2020,4,3,103.734809452037
2020,5,1,103.799627539162
2020,5,2,105.028987584244
2020,5,3,106.037619193102
2020,6,1,105.65836774587
2020,6,2,103.924224950103
2020,6,3,99.4260711479313
2020,7,1,N/A,
2020,7,2,N/A,
2020,7,3,N/A,
2020,8,1,N/A,
2020,8,2,N/A,
2020,8,3,N/A,
2020,9,1,N/A,
2020,9,2,N/A,
2020,9,3,N/A,
2020,10,1,N/A,
2020,10,2,N/A,
2020,10,3,N/A,
2020,11,1,N/A,
2020,11,2,N/A,
2020,11,3,N/A,
2020,12,1,N/A,
2020,12,2,N/A,
2020,12,3,N/A,