"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2017,1,1,109.117361784675,128.953922789539,0.821,0.577
2017,1,2,108.71077254285,122.090752441126,0.667,0.513
2017,1,3,105.95981765997,123.97476340694,1.064,0.756
2017,2,1,112.994931897371,124.64313813645,2.538,1.359
2017,2,2,167.633576313219,161.339600470035,8.705,1.192
2017,2,3,170.336414048059,161.163444058833,1.795,0.974
2017,3,1,168.585814360771,165.055603079555,2.603,1.538
2017,3,2,117.559502913712,163.957813216487,2.346,1.731
2017,3,3,121.638064627217,161.371413529876,6.244,4.154
2017,4,1,89.7810727089207,123.112682885093,7.205,12.846
2017,4,2,69.7781692589416,96.9679035726263,6.654,16.141
2017,4,3,85.6587892521852,107.977460555973,23.769,16.615
2017,5,1,143.286972904084,139.044870455495,37.154,11.385
2017,5,2,223.64,158.686944978486,40.897,12
2017,5,3,256.853431780834,167.189680650193,26.051,11.038
2017,6,1,228.550443621834,166.304818904138,0.846,1
2017,6,2,167.424448679553,166.864539446727,0,0
2017,6,3,101.628811872229,167.948746102156,0.385,0.051
2017,7,1,141.883197845494,185.673807095092,18.064,10
2017,7,2,162.303855978591,214.419114010504,24.923,12.833
2017,7,3,153.674309229865,214.826357969724,20.205,14.795
2017,8,1,143.998196510942,184.492398234429,27.91,20.038
2017,8,2,146.659064633123,166.088127020385,34.487,18.308
2017,8,3,161.523336437959,163.354966139955,36.859,19.295
2017,9,1,167.556107758451,162.740377964085,3.615,3.103
2017,9,2,154.462399360475,162.156126464417,3.628,2.628
2017,9,3,119.837919972987,162.548877368672,4.051,2.038
2017,10,1,113.313664023603,159.052379086591,0.756,1.603
2017,10,2,106.134628730049,153.383669809996,0.487,0.769
2017,10,3,96.2756620621232,156.872110351152,1.372,0.731
2017,11,1,101.128,161.4745691467,0.782,1
2017,11,2,103.697649073642,148.330258738943,1.167,1.115
2017,11,3,100.905754665417,113.315596097808,0.974,0.692
2017,12,1,102.712208847897,112.308120391411,1,0.987
2017,12,2,104.004164330904,109.415995542724,1.013,0.808
2017,12,3,106.117978407135,102.193451744062,1.551,0.987
2018,1,1,108.18784351762,108.496547039511,0.821,0.577
2018,1,2,107.857911733046,111.051120045951,0.654,0.513
2018,1,3,105.95981765997,109.199885288213,1.077,0.756
2018,2,1,130.55907507127,129.330111273463,4.756,1.359
2018,2,2,155.016156909897,149.073918639136,4.795,1.192
2018,2,3,165.974121996303,157.351401972126,2.897,0.974
2018,3,1,150.430531231757,162.997219846022,2.923,1.538
2018,3,2,128.715860422664,162.974473938962,2.513,1.731
2018,3,3,116.925902542616,155.181188031938,4.936,4.154
2018,4,1,100.981518220737,131.520406126116,11.564,12.846
2018,4,2,107.162559977747,128.606656013888,19.731,16.141
2018,4,3,108.13999496421,124.640120210368,18.833,16.615
2018,5,1,107.672558689348,114.817958629336,9.731,11.385
2018,5,2,106.872,112.14867710336,14.872,12
2018,5,3,114.778380568624,114.407684098186,16.385,11.038
2018,6,1,136.009753804571,117.225260551027,5.038,1
2018,6,2,142.585534077503,116.716922850629,0,0
2018,6,3,145.941543751697,117.752206948043,1.09,0.051
2018,7,1,124.746895416687,124.22418678454,13.923,10
2018,7,2,90.1775939666707,111.29389321966,4.641,12.833
2018,7,3,98.0893592004703,112.914249957883,18.154,14.795
2018,8,1,115.608850969375,128.576099395128,33.872,20.038
2018,8,2,134.600338923996,128.5551125297,22.962,18.308
2018,8,3,133.340725299744,125.130737396539,23.359,19.295
2018,9,1,121.009348006153,122.703669885541,5.038,3.103
2018,9,2,142.565522754525,130.189732645361,11.538,2.628
2018,9,3,168.321233609094,129.885525221607,3.333,2.038
2018,10,1,170.053475935829,129.673837214858,2.795,1.603
2018,10,2,143.150589868147,146.419737083725,4.5,0.769
2018,10,3,147.844005189651,152.17097805459,2.077,0.731
2018,11,1,137.232,144.899537620849,0.577,1
2018,11,2,111.077378172194,153.33238730429,1.615,1.115
2018,11,3,100.702740688686,178.12407618565,0.705,0.692
2018,12,1,110.622166640613,180.740156749988,1.833,0.987
2018,12,2,117.346039881477,149.673301929798,2.115,0.808
2018,12,3,132.389297449538,156.168414294886,2.974,0.987
2019,1,1,128.596831555124,154.06430431337,0.821,0.577
2019,1,2,119.748281858077,134.313612866169,0.667,0.513
2019,1,3,105.850075975013,128.23630628047,1.051,0.756
2019,2,1,110.152043078872,134.725188265708,2.192,1.359
2019,2,2,118.208461711881,139.024117284987,2.487,1.192
2019,2,3,120.665434380776,142.020602655209,1.641,0.974
2019,3,1,123.956509048453,143.322284003422,2.859,1.538
2019,3,2,118.816260619252,138.151525959138,2.423,1.731
2019,3,3,111.628307409746,124.190576467491,4.167,4.154
2019,4,1,87.3272771570777,102.635256538231,8.5,12.846
2019,4,2,89.2144363830231,100.887731549979,15.821,16.141
2019,4,3,76.0224452357829,87.2111194590534,7.949,16.615
2019,5,1,68.6485288413587,77.3662766402006,3.397,11.385
2019,5,2,57.64,73.5043028472031,7.474,12
2019,5,3,99.6803457668325,88.2521960430178,23.41,11.038
2019,6,1,126.817086785358,88.1467340831699,2.282,1
2019,6,2,161.956620382975,87.2041101503483,0,0
2019,6,3,117.636412994299,87.3457332337828,0.718,0.051
2019,7,1,119.949129719216,95.6409384563074,13.333,10
2019,7,2,98.2453472813526,90.4583029132616,8.256,12.833
2019,7,3,86.5940203241791,94.4911073139034,9.654,14.795
2019,8,1,76.0344050220234,99.2458176666122,15.936,20.038
2019,8,2,70.2744650860772,94.1955681551656,8.782,18.308
2019,8,3,70.3182980736536,76.9441309255079,12.846,19.295
2019,9,1,72.1610854731196,77.9235033157171,4.962,3.103
2019,9,2,93.3021184263119,80.4666324481544,4.872,2.628
2019,9,3,134.852833586583,82.0688617986872,4.128,2.038
2019,10,1,132.073268178745,78.289580565935,2.487,1.603
2019,10,2,131.408743927828,82.0808624172311,2.321,0.769
2019,10,3,115.652903915134,84.9286105485716,0.346,0.731
2019,11,1,107.592,86.634720470786,0.782,1
2019,11,2,94.6131091390316,103.519228040301,1.026,1.115
2019,11,3,108.518778792848,139.423117530301,2.09,0.692
2019,12,1,110.536188838518,134.851365765432,1.026,0.987
2019,12,2,115.512132617923,129.230613381958,1.308,0.808
2019,12,3,110.639962447191,124.085170126257,1.808,0.987