"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2018,1,1,112.902161359512,114.555289973582,0.95,0.488
2018,1,2,109.718476062036,115.383202742409,0.647,0.448
2018,1,3,110.472796801669,117.826885478998,1.114,0.57
2018,2,1,116.50541635657,123.910764212488,2.328,1.075
2018,2,2,124.043287327478,130.865563839702,2.376,1.107
2018,2,3,127.241161616162,136.341829085457,1.42,0.49
2018,3,1,121.295636334838,137.103669397934,1.52,1.03
2018,3,2,109.199438202247,130.966039467646,1.055,1.296
2018,3,3,91.8239372927344,115.898473245677,2.654,4.259
2018,4,1,104.054215191383,119.09367783393,12.47,9.604
2018,4,2,93.4621499986525,104.26244874048,9.557,13.244
2018,4,3,126.627350124157,125.948750022994,25.087,12.256
2018,5,1,126.67685180622,124.90234375,6.764,5.082
2018,5,2,151.147771596649,124.102547343998,5.425,3.94
2018,5,3,115.199008279099,121.916422926131,3.831,3.565
2018,6,1,116.309428799453,123.240048670259,1.147,0.037
2018,6,2,110.116159388325,124.114733734493,0,0
2018,6,3,115.450884914318,129.283878704814,1.182,0.642
2018,7,1,150.335350891543,140.589412535643,16.388,7.697
2018,7,2,105.232729054385,134.194071537976,4.647,12.276
2018,7,3,89.6801645936594,101.193832756344,7.323,12.799
2018,8,1,99.1978851690235,116.381662213472,32.816,20.154
2018,8,2,123.049025749233,119.981385266085,24.505,17.709
2018,8,3,133.439037725533,119.126669813063,18.1,16.152
2018,9,1,119.108870359598,117.660355467539,2.677,2.552
2018,9,2,114.699835526316,119.782801286071,2.697,0.48
2018,9,3,120.354384370741,119.681377696439,0.52,0.174
2018,10,1,124.584223729443,111.982035604134,0.192,0.109
2018,10,2,108.636937724667,123.909706884289,0.47,0.01
2018,10,3,110.821998817268,137.395163804236,0.582,0.027
2018,11,1,110.228217684561,126.296381174608,0.878,0.786
2018,11,2,108.036912751678,119.546453482817,1.418,1.107
2018,11,3,107.261571916744,129.091693369485,1.515,0.983
2018,12,1,109.233382228055,134.039480019259,1.216,0.863
2018,12,2,113.081580624602,123.63020656959,1.463,0.706
2018,12,3,114.275426102265,124.595656936658,1.602,0.928
2019,1,1,115.129516581422,126.02214114983,0.891,0.488
2019,1,2,110.316925151719,123.408423114594,0.595,0.448
2019,1,3,109.12567356162,122.329521891107,1.07,0.57
2019,2,1,107.690399404614,123.066169617894,1.358,1.075
2019,2,2,109.849435382685,124.009785647717,1.58,1.107
2019,2,3,116.256313131313,129.349325337331,1.794,0.49
2019,3,1,117.35962619783,129.426433915212,1.445,1.03
2019,3,2,114.130774032459,124.61564938045,1.388,1.296
2019,3,3,100.777811275249,115.599865144729,3.881,4.259
2019,4,1,114.448110020271,122.614545332842,13.525,9.604
2019,4,2,125.776807610424,129.600468658465,19.266,13.244
2019,4,3,109.999113160695,112.323172862898,6.823,12.256
2019,5,1,94.5493075747869,106.193462171053,2.281,5.082
2019,5,2,86.0892640194386,111.478570611591,7.823,3.94
2019,5,3,150.790277593306,125.065343207418,13.955,3.565
2019,6,1,183.593660928058,125.420729105763,0.428,0.037
2019,6,2,179.260402881929,125.803797570458,0,0
2019,6,3,107.4819739676,128.749357546685,1.05,0.642
2019,7,1,106.548884890125,124.180436746188,8.49,7.697
2019,7,2,80.6696064020905,100.922605640148,5.157,12.276
2019,7,3,74.862059291125,102.710660623149,8.373,12.799
2019,8,1,69.8672798710822,98.9073266769793,15.057,20.154
2019,8,2,63.6625894299561,79.75942223636,5.189,17.709
2019,8,3,57.8723736624229,62.1190979418464,6.801,16.152
2019,9,1,53.9073104518131,63.1590002100399,3.03,2.552
2019,9,2,75.5448190789474,65.0630592966425,2.216,0.48
2019,9,3,124.602453430259,65.5265868610803,1.209,0.174
2019,10,1,129.536374616743,62.2790974514366,0.517,0.109
2019,10,2,116.38977946177,65.6933577908384,0.254,0.01
2019,10,3,106.160063079046,65.719120637701,0,0.027
2019,11,1,103.05830176476,62.7429738119544,0.9,0.786
2019,11,2,99.9161073825503,82.6098034844093,1.01,1.107
2019,11,3,107.409133271202,129.751047572098,1.92,0.983
2019,12,1,110.599861036053,133.585528578307,1.396,0.863
2019,12,2,116.746335245379,125.594310870301,1.338,0.706
2019,12,3,112.907097703449,120.568335588633,1.376,0.928
2020,1,1,111.672991255568,119.618819977356,0.823,0.488
2020,1,2,108.774443695212,119.178501469148,0.706,0.448
2020,1,3,110.942117156266,122.667219622016,1.236,0.57
2020,2,1,111.295790953444,124.196178937558,1.517,1.075
2020,2,2,112.24121706399,127.39981360671,1.56,1.107
2020,2,3,110.913825757576,125.51724137931,0.978,0.49
2020,3,1,107.507721549062,122.141075881724,1.037,1.03
2020,3,2,103.144506866417,117.238412115649,1.204,1.296
2020,3,3,95.7371118480555,109.319462505418,3.637,4.259
2020,4,1,92.7540840255972,101.643294621641,8.495,9.604
2020,4,2,141.221332902148,140.445225541886,30.271,13.244
2020,4,3,163.335846044697,153.794080314932,24.905,12.256