"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2016,1,1,117.991147254105,125.56820489218,1.278,1.032
2016,1,2,96.7539563686405,125.834689718373,0.008,0.008
2016,1,3,102.228260869565,127.340845070423,0,0
2016,2,1,100.479233226837,99.7372395997231,0.056,0.008
2016,2,2,101.270976069904,102.773486869822,0.143,0.063
2016,2,3,101.506890056508,106.959610310534,0.04,0.016
2016,3,1,101.177625122669,118.326336268687,0.127,0.111
2016,3,2,100.311344619576,97.4377394636015,0.143,0.151
2016,3,3,100.154009048032,103.594998263286,0.135,0.127
2016,4,1,102.456173244586,103.954750298906,0.651,0.389
2016,4,2,104.604786076867,105.869431508655,0.754,0.516
2016,4,3,107.223272989282,108.377234648933,0.5,0.198
2016,5,1,106.574781151052,109.383354894351,0.19,0.024
2016,5,2,105.967962492674,109.967093869068,0.159,0.016
2016,5,3,102.99323786794,109.68998960859,0.008,0.016
2016,6,1,101.345693779904,109.644137448632,0,0
2016,6,2,99.9201277955272,109.844054580897,0,0
2016,6,3,100,109.88439824357,0,0
2016,7,1,100,107.808727948004,0,0
2016,7,2,100,105.880631948508,0,0
2016,7,3,100,102.99323786794,0,0
2016,8,1,100,101.345693779904,0,0
2016,8,2,100.08,100,0.008,0
2016,8,3,100.239234449761,100.239234449761,0.048,0.032
2016,9,1,101.087488978152,101.087488978152,0.262,0.175
2016,9,2,102.067904203136,102.14484947581,0.302,0.19
2016,9,3,102.503244947154,102.717692734332,0.492,0.421
2016,10,1,102.422446845591,103.329624240349,0.96,0.865
2016,10,2,100.779694757797,102.545571348269,0.698,0.77
2016,10,3,94.0491779426742,96.4020873386432,1.27,2.111
2016,11,1,74.0815423203659,77.8297601744186,3.095,7.452
2016,11,2,70.6340123598077,74.2247183172289,4.151,6.651
2016,11,3,65.6535814187384,68.428292387686,3.643,7.714
2016,12,1,71.077215846837,67.6862188380547,6.857,10.317
2016,12,2,68.6418582602513,65.540853456831,8.46,14.159
2016,12,3,78.7487277485824,70.1828887743196,12.595,13.667
2017,1,1,83.2080909979927,70.4546992811988,1.278,1.032
2017,1,2,96.6568179058566,70.2452435338048,0.008,0.008
2017,1,3,102.228260869565,70.5450704225352,0,0
2017,2,1,100.479233226837,74.0260557618478,0.056,0.008
2017,2,2,101.270976069904,75.5511866310911,0.143,0.063
2017,2,3,101.34827005056,80.0101481631825,0.024,0.016
2017,3,1,101.099116781158,83.7062256809338,0.135,0.111
2017,3,2,100.155672309788,97.2780970625798,0.135,0.151
2017,3,3,100.154009048032,103.456061132338,0.135,0.127
2017,4,1,102.531170900909,103.954750298906,0.667,0.389
2017,4,2,104.604786076867,105.728846322819,0.738,0.516
2017,4,3,107.439430784473,108.446325243976,0.524,0.198
2017,5,1,105.103371205066,108.020698576973,0.024,0.024
2017,5,2,104.502832584489,108.529615517839,0.151,0.016
2017,5,3,103.391010342084,110.244198129546,0.222,0.016
2017,6,1,103.399122807018,110.133776339949,0,0
2017,6,2,102.056709265176,110.411128832181,0,0
2017,6,3,100,110.457926337485,0,0
2017,7,1,100,108.254410399257,0,0
2017,7,2,100,106.504778622976,0,0
2017,7,3,100,103.391010342084,0,0
2017,8,1,100,103.399122807018,0,0
2017,8,2,100.08,102.136581469649,0.008,0
2017,8,3,100.239234449761,100.239234449761,0.048,0.032
2017,9,1,102.174977956305,102.174977956305,0.373,0.175
2017,9,2,108.242762335289,108.319707607964,0.833,0.19
2017,9,3,108.45540515483,108.65224625624,0.492,0.421
2017,10,1,106.361101429069,108.14859197124,0.881,0.865
2017,10,2,99.6682149966822,106.624909660323,0.643,0.77
2017,10,3,99.8254037538193,106.26201592969,2.198,2.111
2017,11,1,107.80504598436,111.532521802326,9.079,7.452
2017,11,2,96.3340199893187,99.4976802595319,3.976,6.651
2017,11,3,87.8272621554515,91.7879446477207,4.889,7.714
2017,12,1,70.3909809122888,82.8956142048999,5.548,10.317
2017,12,2,69.6586868926286,77.1716837578564,8.952,14.159
2017,12,3,75.4045240221839,78.6475999240225,11.802,13.667
2018,1,1,82.433475732153,79.0072150853492,1.278,1.032
2018,1,2,93.447201198041,78.9621260822585,0.008,0.008
2018,1,3,102.228260869565,78.2140845070423,0,0
2018,2,1,100.479233226837,73.1779847693373,0.056,0.008
2018,2,2,101.270976069904,74.9122314281702,0.143,0.063
2018,2,3,101.34827005056,76.7424396184291,0.024,0.016
2018,3,1,101.020608439647,82.9152160557035,0.127,0.111
2018,3,2,100.155672309788,94.1131864623244,0.143,0.151
2018,3,3,101.068437770719,104.281000347343,0.23,0.127
2018,4,1,103.787381644324,105.113584107422,0.698,0.389
2018,4,2,114.312907904278,115.139267199719,1.683,0.516
2018,4,3,116.58110420607,118.032645306158,0.563,0.198
2018,5,1,114.490594151611,117.800776196636,0.048,0.024
2018,5,2,107.052158624731,120.064080360236,0.349,0.016
2018,5,3,109.387430389817,125.077935573259,0.603,0.016
2018,6,1,109.170653907496,125.181428696336,0,0
2018,6,2,105.860623003195,125.589225589226,0,0
2018,6,3,100,124.95743346178,0,0
2018,7,1,100,122.989786443825,0,0
2018,7,2,100,112.765749951239,0,0
2018,7,3,100,109.387430389817,0,0
2018,8,1,100,109.170653907496,0,0
2018,8,2,100.08,105.940495207668,0.008,0
2018,8,3,100.239234449761,100.239234449761,0.048,0.032
2018,9,1,101.087488978152,101.087488978152,0.262,0.175
2018,9,2,102.067904203136,102.14484947581,0.302,0.19
2018,9,3,102.651585388467,102.865594379737,0.508,0.421
2018,10,1,109.410944579993,110.194299409398,1.746,0.865
2018,10,2,129.553749170537,130.402312695736,3.365,0.77
2018,10,3,123.730539793394,124.526229057951,1.897,2.111
2018,11,1,103.437761274775,108.584665697674,5.77,7.452
2018,11,2,86.4995803768978,100.833711235916,5.008,6.651
2018,11,3,90.0996322720558,101.094940713637,7.889,7.714
2018,12,1,82.105991580647,90.4777268718677,5.579,10.317
2018,12,2,77.3145295093624,84.209394641085,9.151,14.159
2018,12,3,74.4303429366678,83.4504653623857,11.103,13.667