"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2015,1,1,1.252,0.737
2015,1,2,0.914,0.729
2015,1,3,1.184,1.011
2015,2,1,0.929,0.977
2015,2,2,0.955,0.992
2015,2,3,0.85,0.902
2015,3,1,1.429,2.492
2015,3,2,1.398,2.741
2015,3,3,12.658,5.368
2015,4,1,5.241,12.474
2015,4,2,3.801,15.523
2015,4,3,3.797,15.274
2015,5,1,21.214,6.613
2015,5,2,4.47,6.538
2015,5,3,11.887,5.985
2015,6,1,0.56,0.289
2015,6,2,0,0
2015,6,3,0.387,0.011
2015,7,1,6.045,6.94
2015,7,2,4.267,9.628
2015,7,3,5.011,9.808
2015,8,1,34.143,16.865
2015,8,2,6.553,14.673
2015,8,3,18.173,14.188
2015,9,1,1.695,1.624
2015,9,2,2.244,0.722
2015,9,3,1.883,0.425
2015,10,1,0.32,0.094
2015,10,2,0.38,0.008
2015,10,3,0.699,0.023
2015,11,1,0.97,0.609
2015,11,2,1.831,1.184
2015,11,3,1.015,1.004
2015,12,1,1.545,0.992
2015,12,2,1.635,0.898
2015,12,3,1.492,0.936
2016,1,1,1.429,0.737
2016,1,2,1.361,0.729
2016,1,3,1.414,1.011
2016,2,1,1.526,0.977
2016,2,2,1.797,0.992
2016,2,3,1.387,0.902
2016,3,1,2.718,2.492
2016,3,2,2.5,2.741
2016,3,3,3.094,5.368
2016,4,1,14.635,12.474
2016,4,2,38.278,15.523
2016,4,3,33.034,15.274
2016,5,1,13.241,6.613
2016,5,2,4.226,6.538
2016,5,3,3.85,5.985
2016,6,1,2.192,0.289
2016,6,2,0,0
2016,6,3,0.545,0.011
2016,7,1,5.737,6.94
2016,7,2,15.579,9.628
2016,7,3,48.771,9.808
2016,8,1,66.041,16.865
2016,8,2,13.462,14.673
2016,8,3,9.541,14.188
2016,9,1,1.65,1.624
2016,9,2,0.94,0.722
2016,9,3,0.583,0.425
2016,10,1,0.12,0.094
2016,10,2,0.019,0.008
2016,10,3,0.041,0.023
2016,11,1,1.763,0.609
2016,11,2,1.406,1.184
2016,11,3,1.323,1.004
2016,12,1,1.079,0.992
2016,12,2,1.158,0.898
2016,12,3,1.256,0.936
2017,1,1,1.064,0.737
2017,1,2,0.887,0.729
2017,1,3,1.218,1.011
2017,2,1,1.654,0.977
2017,2,2,4.654,0.992
2017,2,3,1.756,0.902
2017,3,1,2.075,2.492
2017,3,2,1.669,2.741
2017,3,3,4.523,5.368
2017,4,1,3.267,12.474
2017,4,2,3.658,15.523
2017,4,3,20.789,15.274
2017,5,1,29.455,6.613
2017,5,2,25.075,6.538
2017,5,3,10.173,5.985
2017,6,1,0.335,0.289
2017,6,2,0,0
2017,6,3,0.474,0.011
2017,7,1,16.421,6.94
2017,7,2,15.289,9.628
2017,7,3,26.365,9.808
2017,8,1,21.602,16.865
2017,8,2,33.218,14.673
2017,8,3,26.305,14.188
2017,9,1,1.68,1.624
2017,9,2,1.207,0.722
2017,9,3,0.774,0.425
2017,10,1,0.098,0.094
2017,10,2,0.053,0.008
2017,10,3,0.071,0.023
2017,11,1,1.083,0.609
2017,11,2,1.049,1.184
2017,11,3,1,1.004
2017,12,1,1.105,0.992
2017,12,2,1.177,0.898
2017,12,3,1.282,0.936