"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2014,1,1,0.681,0.098
2014,1,2,0.381,0.107
2014,1,3,0.84,0.26
2014,2,1,1.688,1.19
2014,2,2,1.876,1.3
2014,2,3,1.229,1.057
2014,3,1,1.357,1.855
2014,3,2,1.417,2.193
2014,3,3,1.321,2.445
2014,4,1,3.01,1.719
2014,4,2,0.064,1.933
2014,4,3,2.5,2.571
2014,5,1,3.083,3.326
2014,5,2,5.895,3.962
2014,5,3,3.452,2.948
2014,6,1,0.06,0.133
2014,6,2,0,0
2014,6,3,0.35,0.31
2014,7,1,2.931,4.405
2014,7,2,2.826,5.552
2014,7,3,5.005,6.779
2014,8,1,8.583,5.455
2014,8,2,5.64,4.879
2014,8,3,19.007,6.414
2014,9,1,16.988,6.202
2014,9,2,6.014,6.838
2014,9,3,10.643,4.986
2014,10,1,11.067,2.431
2014,10,2,0.983,0.479
2014,10,3,0.814,0.914
2014,11,1,0.669,0.081
2014,11,2,0.586,0.157
2014,11,3,0.617,0.371
2014,12,1,0.924,0.936
2014,12,2,1.393,1
2014,12,3,1.914,1.095
2015,1,1,0.474,0.098
2015,1,2,0.26,0.107
2015,1,3,0.745,0.26
2015,2,1,1.167,1.19
2015,2,2,1.25,1.3
2015,2,3,1.067,1.057
2015,3,1,2.167,1.855
2015,3,2,2.029,2.193
2015,3,3,3.04,2.445
2015,4,1,0.631,1.719
2015,4,2,0.133,1.933
2015,4,3,0.16,2.571
2015,5,1,4.752,3.326
2015,5,2,1.367,3.962
2015,5,3,10.707,2.948
2015,6,1,0.567,0.133
2015,6,2,0,0
2015,6,3,0.669,0.31
2015,7,1,3.595,4.405
2015,7,2,5.581,5.552
2015,7,3,4.445,6.779
2015,8,1,5.431,5.455
2015,8,2,4.945,4.879
2015,8,3,7.152,6.414
2015,9,1,15.095,6.202
2015,9,2,14.874,6.838
2015,9,3,5.64,4.986
2015,10,1,0.936,2.431
2015,10,2,1.729,0.479
2015,10,3,0.786,0.914
2015,11,1,1.102,0.081
2015,11,2,0.621,0.157
2015,11,3,0.59,0.371
2015,12,1,0.924,0.936
2015,12,2,1.393,1
2015,12,3,1.914,1.095
2016,1,1,0.712,0.098
2016,1,2,0.333,0.107
2016,1,3,0.967,0.26
2016,2,1,1.917,1.19
2016,2,2,2.14,1.3
2016,2,3,1.826,1.057
2016,3,1,3.84,1.855
2016,3,2,1.86,2.193
2016,3,3,1.967,2.445
2016,4,1,1.352,1.719
2016,4,2,6.779,1.933
2016,4,3,1.724,2.571
2016,5,1,5.567,3.326
2016,5,2,5.2,3.962
2016,5,3,2.598,2.948
2016,6,1,0.007,0.133
2016,6,2,0,0
2016,6,3,0.817,0.31
2016,7,1,4.129,4.405
2016,7,2,3.574,5.552
2016,7,3,17.995,6.779
2016,8,1,10.174,5.455
2016,8,2,3.136,4.879
2016,8,3,3.969,6.414
2016,9,1,5.974,6.202
2016,9,2,4.462,6.838
2016,9,3,6.081,4.986
2016,10,1,1.036,2.431
2016,10,2,0.419,0.479
2016,10,3,0.374,0.914
2016,11,1,1.895,0.081
2016,11,2,0.676,0.157
2016,11,3,0.721,0.371
2016,12,1,0.84,0.936
2016,12,2,1.212,1
2016,12,3,1.94,1.095