"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2019,1,1,117.197926290935,143.785609053337,13.359,9.956
2019,1,2,112.471318666487,140.77831506816,10.79,7.839
2019,1,3,109.337372400275,131.13521058112,8.802,11.488
2019,2,1,148.708571428571,149.959548996918,35.468,14.423
2019,2,2,133.657777689132,140.031341672002,12.742,14.226
2019,2,3,130.570307545973,128.953245774473,7.681,11.815
2019,3,1,92.7306020694068,122.87650058774,11.609,9.286
2019,3,2,90.4491855701009,116.48353698349,6.915,8.927
2019,3,3,131.139610471415,128.741913081619,23.524,11.476
2019,4,1,142.747658245813,131.709281256292,9.851,4.827
2019,4,2,166.529858403448,132.699214309427,5.315,2.935
2019,4,3,138.080510317499,139.259846333355,3.407,2.931
2019,5,1,120.75344391341,119.728881059968,2.754,1.919
2019,5,2,105.929311395491,125.278640599306,1.222,1.56
2019,5,3,103.130742530457,137.583295506128,1.177,1.214
2019,6,1,100.344449663379,141.046976348031,0.419,0
2019,6,2,103.406456215445,156.445662199555,0,0
2019,6,3,104.19,134.503269518632,0,0
2019,7,1,100,118.167226032395,0,0
2019,7,2,100,107.688379482524,0,0
2019,7,3,100,105.982440617981,0,0
2019,8,1,100,100.344449663379,0,0
2019,8,2,100,103.406456215445,0,0
2019,8,3,100,104.19,0,0
2019,9,1,100,100,0,0
2019,9,2,100,100,0,0
2019,9,3,100.199760287655,100.199760287655,0.032,0.012
2019,10,1,99.7414868960599,99.7414868960599,1.157,1.206
2019,10,2,111.292001189414,111.292001189414,3.782,2.234
2019,10,3,103.608490566038,103.723780344096,2.633,3.52
2019,11,1,82.8830804315411,83.6303080766028,2.484,7.048
2019,11,2,114.192155451601,117.486076435568,16.617,7.222
2019,11,3,103.071864725223,104.145783535097,3.815,7.665
2019,12,1,105.624731644483,95.982024308038,6.468,10.048
2019,12,2,78.223159243148,95.4064687547902,9.028,9.758
2019,12,3,89.5637034002458,96.3458963076334,9.484,9.25
2020,1,1,103.321014269582,99.160376005528,11.746,9.956
2020,1,2,108.109056552841,98.5274463587102,8.819,7.839
2020,1,3,101.29318025609,97.1342800806434,9.226,11.488
2020,2,1,82.5165714285714,95.5043062396952,8.056,14.423
2020,2,2,73.1934499471448,82.230800837052,9.415,14.226
2020,2,3,66.6534559289791,81.254193358639,6.165,11.815
2020,3,1,73.5411564850972,83.0175581492211,7.754,9.286
2020,3,2,122.14200059958,98.5327861206977,24.972,8.927
2020,3,3,123.938622792209,93.7689608538324,6.464,11.476
2020,4,1,129.826852114675,91.2431572185951,4.302,4.827
2020,4,2,79.4103563855257,89.3393559550517,2.452,2.935
2020,4,3,90.5523607016866,89.7827092001849,1.984,2.931
2020,5,1,93.1852684846781,96.557402159761,2.137,1.919
2020,5,2,95.8074344911639,103.281259516414,1.601,1.56
2020,5,3,105.88035118764,115.270086246028,1.819,1.214
2020,6,1,105.057147330515,121.712638406604,0,0
2020,6,2,105.395041911896,83.4436547121697,0,0
2020,6,3,100,95.7023556290869,0,0