"Year","Month","Dekad","NDVI Anomaly"
2017,1,1,99.7056083288837
2017,1,2,100.819047839015
2017,1,3,100.724404724815
2017,2,1,100.608447798139
2017,2,2,100.490055615974
2017,2,3,100.397135615053
2017,3,1,100.346068244725
2017,3,2,100.388638064952
2017,3,3,100.472663496652
2017,4,1,100.580679404929
2017,4,2,100.729762988727
2017,4,3,100.74197973964
2017,5,1,100.727778469482
2017,5,2,100.729258820656
2017,5,3,100.787330088518
2017,6,1,100.790534250682
2017,6,2,100.75910723318
2017,6,3,100.675051188515
2017,7,1,100.547452182925
2017,7,2,100.435792731646
2017,7,3,100.361890472278
2017,8,1,100.332685643452
2017,8,2,100.346042815677
2017,8,3,100.352334822669
2017,9,1,100.358085102091
2017,9,2,100.350814689461
2017,9,3,100.34248818499
2017,10,1,100.337592226021
2017,10,2,100.328366488606
2017,10,3,100.357820959564
2017,11,1,100.39867391015
2017,11,2,100.438139090205
2017,11,3,100.449735043223
2017,12,1,100.419747153224
2017,12,2,100.379014376105
2017,12,3,100.325192992467
2018,1,1,102.371009314621
2018,1,1,100.796269317565
2018,1,2,100.031125357653
2018,1,3,99.8196845969289
2018,2,1,99.7377770585854
2018,2,2,99.6865170814171
2018,2,3,99.6441403382412
2018,3,1,99.5221491454686
2018,3,2,99.4669296146877
2018,3,3,99.5981914999608
2018,4,1,99.535835204232
2018,4,2,99.4324932992614
2018,4,3,99.3374124830462
2018,5,1,99.2698207269745
2018,5,2,99.2448658759517
2018,5,3,99.339660443234
2018,6,1,99.4420782067449
2018,6,2,99.5226041451576
2018,6,3,99.5651161335035
2018,7,1,99.6303479567999
2018,7,2,99.5406738937755
2018,7,3,99.3407491960667
2018,8,1,99.1348363659395
2018,8,2,99.1171536836216
2018,8,3,99.0593908532395
2018,9,1,99.0735738798493
2018,9,2,99.1749007732174
2018,9,3,99.3169664317172
2018,10,1,99.5703270995695
2018,10,2,99.9321497479374
2018,10,3,101.111458640787
2018,11,1,101.895309738115
2018,11,2,102.700374181992
2018,11,3,104.182508462373
2018,12,1,104.720413613611
2018,12,2,105.030265194861
2018,12,3,105.166272543221
2019,1,2,105.018936425632
2019,1,3,104.63553955938
2019,2,1,104.31353424942
2019,2,2,103.926419191992
2019,2,3,103.501973766223
2019,3,1,102.669153424514
2019,3,2,102.319537460638
2019,3,3,102.06425707729
2019,4,1,101.915306354892
2019,4,2,101.861598174254
2019,4,3,101.905245968041
2019,5,1,101.988926154075
2019,5,2,102.12171899197
2019,5,3,102.419489067662
2019,6,1,102.559972241468
2019,6,2,102.694459338645
2019,6,3,102.795053647143
2019,7,1,102.81590546336
2019,7,1,103.052915655988
2019,7,2,102.907420838548
2019,7,3,102.700059029768
2019,8,1,102.24012857285
2019,8,2,101.96124771702
2019,8,3,101.753520817894
2019,9,1,101.497344902639
2019,9,2,101.142235260717
2019,9,3,101.058549382134
2019,10,1,101.014991486829
2019,10,2,101.045766873606
2019,10,3,101.202207939242
2019,11,1,101.251238809467
2019,11,2,101.309472134156
2019,11,3,101.294655204963
2019,12,1,101.246678121797
2019,12,2,101.238311117645
2019,12,3,101.169037808418