1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,Lat,Lon,NDVI Anomaly,Population,Rainfall (mm),Ramadan,rCSI,h,val_loss,train_loss
9,6,36,31,29,31,0,0,44,0,33,1,20,5,5.908027845789451,0.08523861517259274
9,6,36,31,29,31,0,0,44,0,33,1,20,6,7.538585798525456,0.09181675715906451
9,6,36,31,29,31,0,0,44,0,33,1,20,7,12.294589315047586,0.09311613203585141
9,6,36,31,29,31,0,0,44,0,33,1,20,8,11.736462961591695,0.09111859070762589
9,6,36,31,29,31,0,0,44,0,33,1,20,9,15.817922231747325,0.08903113933348043
9,6,36,31,29,31,0,0,44,0,33,1,20,10,16.866004502421305,0.10426979142946381
9,6,36,31,29,31,0,0,44,0,33,1,20,11,18.9918094209534,0.08645256757553954
9,6,36,31,29,31,0,0,44,0,33,1,20,12,19.938387968989296,0.09834216768178955
9,6,36,31,29,31,0,0,44,0,33,1,20,13,20.827026577304487,0.11052790909934915
9,6,36,31,29,31,0,0,44,0,33,1,20,14,22.67325989908453,0.10978078875902178
9,6,36,31,29,31,0,0,44,0,33,1,20,15,22.83832911472115,0.0916467599277528
9,6,36,31,29,31,0,0,44,0,33,1,20,16,25.312207307183595,0.09841036339306614
9,6,36,31,29,31,0,0,44,0,33,1,20,17,27.35156419822029,0.10810893567463895
9,6,36,31,29,31,0,0,44,0,33,1,20,18,26.76973206005798,0.09655345181883743
9,6,36,31,29,31,0,0,44,0,33,1,20,19,29.923729136315757,0.09364535774442773
9,6,36,31,29,31,0,0,44,0,33,1,20,20,32.84999944234149,0.11218260902948174
9,6,36,31,29,31,0,0,44,0,33,1,20,21,32.54384383596751,0.10314994156346892
9,6,36,31,29,31,0,0,44,0,33,1,20,22,34.186558933756174,0.09839720637949663
9,6,36,31,29,31,0,0,44,0,33,1,20,23,34.94242883035245,0.08838175430894556
9,6,36,31,29,31,0,0,44,0,33,1,20,24,35.716684241076905,0.09675802272508846
9,6,36,31,29,31,0,0,44,0,33,1,20,25,39.39682177577979,0.08340687903993149
9,6,36,31,29,31,0,0,44,0,33,1,20,26,35.02841678701487,0.08363087142169473
