1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,Lat,Lon,NDVI Anomaly,Population,Rainfall (mm),Ramadan,rCSI,h,val_loss,train_loss
3,4,4,1,2,1,0,0,4,0,1,4,3,1,0.2840887,0.20372918
3,4,4,1,2,1,0,0,4,0,1,4,3,2,0.97464204,0.76590526
3,4,4,1,2,1,0,0,4,0,1,4,3,3,2.022823,1.6540422
4,3,3,1,3,2,0,0,2,0,3,3,4,1,0.24896495,0.18173753
4,3,3,1,3,2,0,0,2,0,3,3,4,2,0.8827657,0.70501935
4,3,3,1,3,2,0,0,2,0,3,3,4,3,1.8904121,1.5284956
4,3,3,1,3,2,0,0,2,0,3,3,4,4,3.149685,2.636199
4,3,3,1,3,2,0,0,2,0,3,3,4,5,4.6158147,3.8714998
4,3,3,1,3,2,0,0,2,0,3,3,4,6,6.2792664,5.128348
4,3,3,1,3,2,0,0,2,0,3,3,4,7,7.9245768,6.3518767
4,3,3,1,3,2,0,0,2,0,3,3,4,8,9.451854,7.484167
4,3,3,1,3,2,0,0,2,0,3,3,4,9,11.334375,8.4951105
4,3,3,1,3,2,0,0,2,0,3,3,4,10,12.834475,9.3293915
4,3,3,1,3,2,0,0,2,0,3,3,4,11,14.41062,9.837824
4,3,3,1,3,2,0,0,2,0,3,3,4,12,15.862863,10.458237
3,2,3,4,3,2,0,0,3,0,3,2,1,1,0.25097203,0.18010044
3,2,3,4,3,2,0,0,3,0,3,2,1,2,0.8739752,0.6993096
